it	posterior	likelihood	prior	accuracy	test_accuracy	acc_C0	acc_C1	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2	feat_w1_space	feat_w1_time	mean_feat_w2	std_feat_w2	acc_prob	mcmc_id
5000	-4675.447513061907	-315.0363324827929	-4360.4111805791135	0.6886792452830188	0	0.5421686746987951	0.8185053380782918	0.0036498393014401894	0.4666093138045069	0.07293890330628165	0.6386548367026812	-0.004220270571842865	1.019372874887993	-0.13350657668337015	-0.46132464181778354	0.00487397066203152	0.1377355763297069	0.37623762376237624	1
5200	-4675.522495929055	-310.7933543965578	-4364.729141532497	0.7113207547169811	0	0.6746987951807228	0.7437722419928826	0.005208371211250822	0.46875799076685365	0.06276107773683251	0.6395827164515717	-0.040346622028618925	1.0589814066186707	-0.15848872843547726	-0.4952289961630104	0.0041804598658825255	0.13911028483719176	0.42574257425742573	1
5400	-4686.321357630605	-316.2915253857704	-4370.029832244835	0.6698113207547169	0	0.5461847389558233	0.7793594306049823	0.002902764390446987	0.4731223477248653	0.05151532664396238	0.6365547124307871	-0.019124717224846946	0.9961638479515651	-0.21150428216600534	-0.4721158368731751	0.003949438601803193	0.14103674718399245	0.5247524752475248	1
5600	-4692.353719231306	-312.02501037118196	-4380.328708860124	0.6867924528301886	0	0.6224899598393574	0.7437722419928826	0.0028392246897831755	0.4781937382750103	0.04768839077995708	0.6456256086108316	-0.07071405441912573	1.020528896706745	-0.2088492491693018	-0.46688851822345545	0.0035407205419679248	0.14198702727866672	0.48514851485148514	1
5800	-4704.119468428358	-311.16752312582514	-4392.951945302533	0.7094339622641509	0	0.6144578313253012	0.7935943060498221	-0.0008869880043175927	0.48471876069780423	0.05389697198078813	0.6513572694507022	-0.02596035076584494	1.0555096881342556	-0.23556192094353962	-0.4483093455614431	0.0035019393226506518	0.14453078381538761	0.49504950495049505	1
6000	-4710.6879106128445	-306.97524579747187	-4403.712664815373	0.7226415094339622	0	0.6345381526104418	0.800711743772242	-0.00014846679092140444	0.4907842821263673	0.05397598334887747	0.6591518347338913	0.04940872811380936	1.0125778115182584	-0.2634954533602792	-0.4799946324763189	0.003785368239084158	0.1450732845124849	0.40594059405940597	1
6200	-4719.842171281465	-309.1237771135185	-4410.718394167947	0.720754716981132	0	0.6907630522088354	0.7473309608540926	0.0009161506027735119	0.49373702570858236	0.051715032566479475	0.6644172924423957	0.003912308575957029	1.0669407006046652	-0.2797565903015766	-0.49006477606847176	0.002873232484160234	0.14674809337282668	0.44554455445544555	1
6400	-4720.139037910995	-303.2100979239678	-4416.928939987028	0.7150943396226415	0	0.6465863453815262	0.7758007117437722	0.0014447575669677781	0.4961017256125222	0.055380994424674326	0.6755337569482296	0.04322999213664839	1.0719478363552173	-0.2727293979747169	-0.4917979971337627	0.0034585887748955356	0.14760520239890962	0.3465346534653465	1
6600	-4720.748410281924	-301.30389309903364	-4419.444517182891	0.7188679245283018	0	0.5903614457831325	0.8327402135231317	0.0010337135882002113	0.49765222372205625	0.05551821229192973	0.6744887589354224	0.031010432423257097	1.0682088687152278	-0.1994752309703936	-0.46865707334562984	0.002152215279791787	0.14971385434158258	0.40594059405940597	1
6800	-4732.006549662644	-301.97394167869527	-4430.032607983949	0.7415094339622641	0	0.6104417670682731	0.8576512455516014	0.0018828372281929787	0.5029336067303684	0.049404505233383356	0.6840908230716186	0.0719286798228956	1.0574042923509543	-0.22816846871941956	-0.45545869407019807	0.0016141979418426442	0.15053873115975888	0.5148514851485149	1
7000	-4732.878587133103	-297.9898731270997	-4434.888714006003	0.7377358490566037	0	0.7068273092369478	0.7651245551601423	0.004255791847025683	0.5055259736421656	0.04370095836572515	0.6842719051255438	0.0805136217821261	1.0732613929380252	-0.2322455189651966	-0.5035981899761113	0.0014733928769073718	0.1511720905357555	0.4752475247524752	1
7200	-4739.35217668045	-302.07685371603304	-4437.275322964417	0.6981132075471698	0	0.6987951807228916	0.697508896797153	0.004978435841494233	0.507628491297883	0.022577111905789735	0.6758941835523777	0.038295810119366995	1.097597646909795	-0.24589698410485494	-0.4866446899966356	0.0015655863563540347	0.15107692308651846	0.43564356435643564	1
7400	-4753.427538063004	-309.2012104980198	-4444.226327564985	0.6886792452830188	0	0.6907630522088354	0.6868327402135231	0.003995784996717597	0.5128989398050603	0.019006059623538143	0.663393346631462	0.028009763599794887	1.0935235819459428	-0.19846667059144826	-0.5054936293939347	0.0007778317990138589	0.15197461233998677	0.49504950495049505	1
7600	-4754.114138811122	-305.67575281868073	-4448.438385992441	0.7188679245283018	0	0.5461847389558233	0.8718861209964412	0.0046108528860257314	0.5157171571875246	0.02154770948016664	0.6599327524505266	0.008303095941936857	1.0757730767799736	-0.22935440467271967	-0.58102810956432	0.0008248739319015597	0.1535799122278783	0.5445544554455446	1
7800	-4751.995193792887	-296.9274567963532	-4455.067736996534	0.7415094339622641	0	0.6506024096385542	0.8220640569395018	0.0017226823900945275	0.520074978135089	0.022325457566006398	0.6575241970215809	0.047989120959379634	1.0364064088028637	-0.22966758607165455	-0.5874459408090378	0.00018379808941425998	0.15442078519044716	0.44554455445544555	1
8000	-4761.001660286049	-298.8855029319052	-4462.116157354143	0.7396226415094339	0	0.6224899598393574	0.8434163701067615	0.0005169492795148242	0.523108193435651	0.020079461517473703	0.6643439750946355	0.02715112727020607	1.0582412340763603	-0.2974909005020686	-0.5858648618343336	4.465499730506456e-05	0.1549332429097449	0.38613861386138615	1
8200	-4763.362143838147	-296.9534541697917	-4466.408689668356	0.7377358490566037	0	0.6827309236947792	0.7864768683274022	0.001303981312456083	0.5248899190523729	0.014589269050619056	0.6714532946138304	0.02881171461071805	1.0506996135925502	-0.3082047604090733	-0.5347705532231508	0.0003390668730449998	0.15531107733643473	0.31683168316831684	1
8400	-4770.879982901024	-294.05615670819725	-4476.823826192827	0.7452830188679245	0	0.6465863453815262	0.8327402135231317	0.0008879228011966962	0.529945554255273	0.009639616917329669	0.6829957417304487	-0.03376544794253577	1.0068722477161351	-0.27405364918584346	-0.444748271474507	0.001245828632513924	0.1564816914385913	0.4752475247524752	1
8600	-4774.102645093079	-292.1001827450317	-4482.002462348048	0.7188679245283018	0	0.6465863453815262	0.7829181494661922	0.0013425046609779124	0.5320883542994366	0.00911539771110507	0.6855007652676943	0.04502296640763534	1.039723676069558	-0.3013686795567832	-0.4556591979105216	0.0011248392478569126	0.15880760250743003	0.43564356435643564	1
8800	-4779.79954703998	-293.0887813338909	-4486.710765706089	0.7452830188679245	0	0.6586345381526104	0.8220640569395018	0.0026202974904864333	0.5345048834445699	0.005448287639158468	0.6860740318602563	0.027467800972654666	1.0424890542073515	-0.3144302246099812	-0.49478395637189104	0.0007556146197061533	0.16024512596664087	0.46534653465346537	1
9000	-4788.098265148476	-295.9595240261598	-4492.138741122316	0.7283018867924528	0	0.6626506024096386	0.7864768683274022	0.002488032129298509	0.5368470533914976	-0.0011144172385061067	0.6888350157827307	0.10023094612481721	1.0613395195461834	-0.27212306147342374	-0.5677253138196197	0.0019119589366372834	0.16212142521170694	0.42574257425742573	1
9200	-4793.597793440603	-296.9524126572927	-4496.64538078331	0.7283018867924528	0	0.6586345381526104	0.7900355871886121	0.0030114929704961038	0.5400243693250897	0.008836809631216651	0.6882499171306674	0.0812561464183093	0.9912736315932456	-0.27222783124842964	-0.5057991083969892	0.0008011175648731923	0.16322283038885232	0.44554455445544555	1
9400	-4796.3189970152025	-292.7548288721781	-4503.564168143024	0.730188679245283	0	0.6746987951807228	0.7793594306049823	0.002564010696279926	0.5424612128528062	0.012059966293383215	0.7022573126577066	0.11802777727780035	0.9790435241907567	-0.30103732544843553	-0.48062384340329345	0.0014000662887458696	0.1630229625590631	0.3465346534653465	1
9600	-4803.930787907358	-293.3093489456812	-4510.621438961676	0.7433962264150943	0	0.678714859437751	0.800711743772242	0.0012009531636478891	0.5476275470433981	0.013582893380137209	0.6873193496458555	0.1326238243203414	0.980611803027835	-0.3504597300683529	-0.5361658268936238	0.0015790600292821194	0.16362022361258766	0.3564356435643564	1
9800	-4808.904406664105	-289.6077847345072	-4519.296621929599	0.7377358490566037	0	0.678714859437751	0.7900355871886121	0.0012808631968569725	0.5517852302467271	0.0019699333942932926	0.692726483668798	0.11652285508713356	0.9707782913389309	-0.35976717097645516	-0.5313910805191295	0.0013608337585828418	0.16467587705509867	0.48514851485148514	1
10000	-4816.221305230967	-288.635519839347	-4527.58578539162	0.7320754716981132	0	0.678714859437751	0.7793594306049823	0.0011033372587351748	0.5564378823303835	0.0020163414301743094	0.6903374834746105	0.11760226131436854	0.9617697680124677	-0.39082940762709045	-0.5679692474087203	0.0014913406403704761	0.16490702459696752	0.40594059405940597	1
10200	-4817.902438426924	-287.3473961622833	-4530.555042264641	0.7490566037735849	0	0.6867469879518072	0.8042704626334519	0.0002945829479365645	0.5582186505690077	-0.0008270056136818059	0.6896496933523013	0.09655730962403504	0.9467759120471417	-0.39466005474605365	-0.6042864769762194	0.0018296025379911083	0.1646200137532925	0.4752475247524752	1
10400	-4822.460502495416	-286.7329732610609	-4535.727529234356	0.7358490566037735	0	0.6827309236947792	0.7829181494661922	3.069155739369831e-05	0.5605533395397724	-0.0022177288574438277	0.6965123988510437	0.09503013947382834	0.9065822436900517	-0.36671295242882246	-0.5975838796334663	0.0024946061416895133	0.16605164222364208	0.37623762376237624	1
10600	-4823.231290877625	-285.92263448779795	-4537.308656389827	0.7377358490566037	0	0.6987951807228916	0.7722419928825622	-0.0006432896896391253	0.561456160774118	-0.00032139423518090515	0.6929829501944357	0.08079287286489854	0.9308395540622943	-0.361005387952324	-0.5816009403245783	0.0027253386969923322	0.16741887261425803	0.4158415841584158	1
10800	-4825.145662252043	-286.558709040739	-4538.586953211304	0.7433962264150943	0	0.6987951807228916	0.7829181494661922	-0.0013188094508809205	0.5616764421948346	0.0012492026008243176	0.6989760679036384	0.08261504373948315	0.9136888318525435	-0.3939664338195498	-0.591388572609884	0.002456834218583185	0.16758369221341057	0.39603960396039606	1
11000	-4832.149871995548	-286.6545564561447	-4545.495315539403	0.7471698113207547	0	0.6546184738955824	0.8291814946619217	-0.0006419757502548416	0.5654521980337768	-0.004094105413020328	0.7012731052951291	0.04704610731722433	0.8600705382582667	-0.4288075880964777	-0.6382064351654246	0.003102473940544448	0.16813593103160177	0.36633663366336633	1
