species	max_age	min_age	lat	lon	family	mean_age	source	kingdom	citation
Aphelops	15.97	13.6	41.099998	-117.800003	Rhinocerotidae	14.785	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	15.97	13.6	34.799999	-117.0	Rhinocerotidae	14.785	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	15.97	13.6	30.5	-95.0	Rhinocerotidae	14.785	pbdb	Animalia	D. R. Prothero and E. M. Manning. 1987. Miocene rhinoceroses from the Texas Gulf Coastal Plain. Journal of Paleontology 61(2):388-423
Aphelops	15.97	13.6	42.799999	-100.800003	Rhinocerotidae	14.785	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	15.97	13.6	34.799999	-117.0	Rhinocerotidae	14.785	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	15.97	13.6	30.700001	-94.699997	Rhinocerotidae	14.785	pbdb	Animalia	D. R. Prothero and E. M. Manning. 1987. Miocene rhinoceroses from the Texas Gulf Coastal Plain. Journal of Paleontology 61(2):388-423
Aphelops	15.97	13.6	34.799999	-117.0	Rhinocerotidae	14.785	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	15.97	13.6	35.049999	-117.066666	Rhinocerotidae	14.785	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	15.97	13.6	42.700001	-100.0	Rhinocerotidae	14.785	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	15.97	13.6	38.25	-117.900002	Rhinocerotidae	14.785	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	15.97	13.6	40.799999	-104.199997	Rhinocerotidae	14.785	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	15.97	13.6	30.5	-95.0	Rhinocerotidae	14.785	pbdb	Animalia	D. R. Prothero and P. C. Sereno. 1982. Allometry and paleoecology of medial Miocene dwarf rhinoceroses from the Texas Gulf Coastal Plain. Paleobiology 8(1):16-30
Aphelops	15.97	13.6	35.5	-106.199997	Rhinocerotidae	14.785	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	20.43	15.97	42.400002	-103.800003	Rhinocerotidae	18.2	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	20.43	15.97	41.700001	-119.699997	Rhinocerotidae	18.2	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	20.43	15.97	42.400002	-103.800003	Rhinocerotidae	18.2	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	15.97	13.6	35.299999	-118.5	Rhinocerotidae	14.785	pbdb	Animalia	D. R. Prothero, M. R. Liter, and L. G. Barnes, X. Wang, E. Mitchell, S. McLeod, D. P. Whistler, R. H. Tedford, C. Ray. 2008. Land mammals from the middle Miocene Sharktooth Hill Bonebed, Kern County, California. New Mexico Museum of Natural History and Science Bulletin 44:299-314
Aphelops	20.43	15.97	42.400002	-103.800003	Rhinocerotidae	18.2	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	20.43	15.97	42.799999	-103.099998	Rhinocerotidae	18.2	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	20.43	15.97	42.400002	-103.800003	Rhinocerotidae	18.2	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	13.6	10.3	42.799999	-100.800003	Rhinocerotidae	11.95	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	15.97	13.6	42.599998	-98.0	Rhinocerotidae	14.785	pbdb	Animalia	M. R. Voorhies. 1990. Vertebrate biostratigraphy of the Ogallala Group in Nebraska.  In T. C. Gustavson (ed.), Geologic Framework and Regional Hydrology: Upper Cenozoic Blackwater Draw and Ogallala Formations, Great Plains 
Aphelops	13.6	10.3	42.799999	-100.800003	Rhinocerotidae	11.95	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	13.6	10.3	42.799999	-100.800003	Rhinocerotidae	11.95	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	13.6	10.3	42.799999	-100.800003	Rhinocerotidae	11.95	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	15.97	13.6	42.799999	-100.800003	Rhinocerotidae	14.785	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	13.6	10.3	42.799999	-99.699997	Rhinocerotidae	11.95	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	13.6	10.3	42.700001	-100.0	Rhinocerotidae	11.95	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	13.6	10.3	43.400002	-100.599998	Rhinocerotidae	11.95	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	13.6	10.3	42.799999	-100.800003	Rhinocerotidae	11.95	pbdb	Animalia	D. R. Prothero. 1989. Personal communication regarding rhinocerotid identifications. 
Aphelops	15.97	13.6	42.783333	-100.033333	Rhinocerotidae	14.785	pbdb	Animalia	M. R. Voorhies. 1990. Vertebrate biostratigraphy of the Ogallala Group in Nebraska.  In T. C. Gustavson (ed.), Geologic Framework and Regional Hydrology: Upper Cenozoic Blackwater Draw and Ogallala Formations, Great Plains 
