index	Latitude	Longitude	Age.Max	Age.Min	Openness	mean_age	age_bin	paleolat	paleolon
339	42.75	-103.93	26	26	Closed	26	26	43.62	-98.09
340	42.75	-103.93	25.9	25.9	Open	25.9	26	43.62	-98.09
341	42.03	-103.88	26.5	26.5	Closed	26.5	26	42.9	-98.08
342	42.72	-103.01	25	25	Closed	25	25	43.56	-97.41
343	42.69	-103.93	20	20	Open	20	20	43.51	-99.61
344	42.69	-103.93	19.8	19.8	Open	19.8	20	43.51	-99.61
345	42.69	-103.93	19.5	19.5	Open	19.5	20	43.51	-99.61
346	42.43	-103.46	24	24	Open	24	24	43.28	-98.14
347	41.7	-103.72	19.2	19.2	Open	19.2	19	42.48	-99.64
348	42.42	-103.76	19.1	19.1	Open	19.1	19	43.2	-99.66
349	42.67	-104.02	19.1	19.1	Open	19.1	19	43.45	-99.91
350	42.43	-103.46	19.1	19.1	Open	19.1	19	43.2	-99.35
351	42.34	-104.06	19.1	19.1	Open	19.1	19	43.12	-99.96
352	42.34	-104.06	18.9	18.9	Open	18.9	19	43.12	-99.96
353	42.42	-103.76	18.9	18.9	Open	18.9	19	43.2	-99.66
354	42.6	-104.01	18.9	18.9	Open	18.9	19	43.38	-99.91
355	42.81	-101.77	19.1	19.1	Open	19.1	19	43.55	-97.63
356	42.43	-103.37	18.5	18.5	Open	18.5	18	43.16	-99.48
357	42.48	-103.04	18.1	18.1	Open	18.1	18	43.2	-99.14
358	42.77	-102.02	18.1	18.1	Open	18.1	18	43.48	-98.1
360	42.56	-102.59	17.5	17.5	Open	17.5	18	43.28	-98.68
361	42.44	-103.07	17	17	Open	17	17	43.13	-99.39
363	42.17	-103.72	16.5	16.5	Open	16.5	16	42.83	-100.27
364	42.17	-103.72	16.1	16.1	Open	16.1	16	42.83	-100.27
365	42.64	-102.8	16.5	16.5	Open	16.5	16	43.28	-99.33
366	42.17	-103.72	15.6	15.6	Open	15.6	16	42.83	-100.27
368	42.69	-102.85	15	15	Open	15	15	43.29	-99.59
369	42.8	-100.5	11.8	11.8	Open	11.8	12	43.26	-97.86
370	42.73	-99.82	11.4	11.4	Open	11.4	11	43.14	-97.39
371	42.75	-100.82	10.8	10.8	Open	10.8	11	43.17	-98.4
372	42.71	-99.94	9.5	9.5	Open	9.5	10	43.08	-97.73
373	42.91	-100.27	9	9	Open	9	9	43.26	-98.28
374	35.99	-106.03	15.8	15.8	Closed	15.8	16	36.68	-102.75
375	35.99	-106.03	14	13.5	Closed	13.75	14	36.59	-103.15
377	42.8164657	-97.8619576	5.5	5	Open	5.25	5	43	-96.75
380	41.5239548	-103.7732699	7	5	Open	6	6	41.77	-102.48
381	41.5239548	-103.7732699	9	5	Open	7	7	41.81	-102.26
382	41.1777746	-103.6247423	9	5	Open	7	7	41.47	-102.11
383	42.8244219	-100.0224186	10	9	Open	9.5	10	43.2	-97.81
384	41.2649071	-102.1317116	10.8	9.5	Open	10.15	10	41.66	-99.95
391	37.4254872	-99.8301638	9	5	Open	7	7	37.69	-98.34
392	39.0011182	-99.5385375	9	8	Open	8.5	8	39.31	-97.81
393	39.0011182	-99.5385375	8	8	Open	8	8	39.31	-97.81
399	39.43	-74.76	22	15	Closed	18.5	18	39.6	-70.78
406	43.84	-73.05	25	10	Closed	17.5	18	43.97	-68.9
407	42.19	-103.79	20.4	12.4	Open	16.4	16	42.85	-100.34
413	42.39	-98.23	23	16	Open	19.5	20	43.09	-93.85
420	46	-119	10	5	Closed	7.5	8	45.92	-116.33
458	42	-115	3.4	2.6	Open	3	3	42.1	-114.27
465	42	-115	16	5.3	Closed	10.65	11	42.37	-112.32
471	40	-107	20.6	16.3	Open	18.45	18	40.79	-103.22
474	41	-107	20.6	16.3	Open	18.45	18	41.79	-103.19
475	41	-107	16.3	13.6	Open	14.95	15	41.66	-103.82
476	42.24	-114.1	13.6	10.3	Closed	11.95	12	42.66	-111.18
477	43.74	-118.81	13.6	10.3	Closed	11.95	12	43.63	-114.76
482	43.26	-117.03	16.3	13.6	Closed	14.95	15	43.16	-111.97
484	39.9	-99.76	5.3	3.6	Open	4.45	4	40.05	-98.9
485	39.85	-99.76	5.3	3.6	Open	4.45	4	40	-98.9
486	40.42	-101.37	5.3	3.6	Open	4.45	4	40.58	-100.51
487	39.95	-99.54	5.3	3.6	Open	4.45	4	40.1	-98.67
488	39.9	-102.2	5.3	3.6	Open	4.45	4	40.06	-101.34
489	41.33	-102.14	5.3	3.6	Open	4.45	4	41.49	-101.27
490	39.74	-98.73	5.3	3.6	Open	4.45	4	39.89	-97.86
491	39.84	-100.2	5.3	3.6	Open	4.45	4	40	-99.34
492	41.7	-98.4	5.3	3.6	Open	4.45	4	41.85	-97.52
493	38.95	-100.56	5.3	3.6	Open	4.45	4	39.11	-99.7
494	42.45	-103.3	20.6	18.6	Open	19.6	20	43.26	-98.98
495	41.83	-103.11	22.6	20.6	Open	21.6	22	42.66	-98.31
496	42.1	-103.3	18.6	17.6	Open	18.1	18	42.83	-99.42
497	42.68	-102.69	17.6	16.3	Open	16.95	17	43.36	-99
498	42.87	-100.56	5.3	3.6	Open	4.45	4	43.03	-99.68
499	42.1	-114.6	7.4	7.4	Open	7.4	7	42.34	-112.89
500	42.08	-114.68	7.7	7.7	Open	7.7	8	42.35	-112.73
501	42.08	-115.22	8	8	Open	8	8	42.35	-113.27
502	42	-114.67	8.6	8.6	Open	8.6	9	42.31	-112.47
503	42.08	-113.93	9.3	9.3	Open	9.3	9	42.39	-111.73
504	42.4	-114.3	10.2	10.2	Open	10.2	10	42.74	-111.86
505	42.4	-114.3	10.4	10.4	Open	10.4	10	42.74	-111.86
506	42.42	-114.3	10.5	10.5	Open	10.5	10	42.76	-111.86
507	42.33	-114.28	10.55	10.55	Open	10.55	11	42.71	-111.6
508	42.3	-114.01	10.6	10.6	Open	10.6	11	42.68	-111.33
509	42.33	-114.27	10.7	10.7	Open	10.7	11	42.71	-111.59
510	42.3	-114.02	10.8	10.8	Open	10.8	11	42.68	-111.34
511	42.15	-114.07	11.6	11.6	Open	11.6	12	42.57	-111.15
512	41.96	-115.67	12	12	Open	12	12	41.88	-111.6
513	41.2	-112.55	2.6	2.6	Open	2.6	3	41.31	-111.81
515	41.2	-112.55	2.7	2.7	Open	2.7	3	41.31	-111.81
517	41.2	-112.55	2.8	2.8	Open	2.8	3	41.31	-111.81
518	41.2	-112.55	2.9	2.9	Open	2.9	3	41.31	-111.81
519	41.2	-112.55	3	3	Open	3	3	41.31	-111.81
521	41.2	-112.55	3.1	3.1	Open	3.1	3	41.31	-111.81
522	41.2	-112.55	3.2	3.2	Open	3.2	3	41.31	-111.81
524	41.2	-112.55	3.3	3.3	Open	3.3	3	41.31	-111.81
525	41.2	-112.55	3.4	3.4	Open	3.4	3	41.31	-111.81
528	41.2	-112.55	3.5	3.5	Open	3.5	4	41.35	-111.57
529	41.2	-112.55	3.6	3.6	Open	3.6	4	41.35	-111.57
530	41.2	-112.55	3.7	3.7	Open	3.7	4	41.35	-111.57
531	41.2	-112.55	3.9	3.9	Open	3.9	4	41.35	-111.57
532	41.2	-112.55	4	4	Open	4	4	41.35	-111.57
533	41.2	-112.55	4.1	4.1	Open	4.1	4	41.35	-111.57
534	41.2	-112.55	4.2	4.2	Open	4.2	4	41.35	-111.57
536	41.2	-112.55	4.4	4.4	Open	4.4	4	41.35	-111.57
537	41.2	-112.55	4.5	4.5	Open	4.5	4	41.35	-111.57
538	41.2	-112.55	4.6	4.6	Open	4.6	5	41.38	-111.32
539	41.2	-112.55	4.7	4.7	Open	4.7	5	41.38	-111.32
540	41.2	-112.55	4.8	4.8	Open	4.8	5	41.38	-111.32
541	41.2	-112.55	4.9	4.9	Open	4.9	5	41.38	-111.32
542	41.2	-112.55	5	5	Open	5	5	41.38	-111.32
543	41.2	-112.55	5.1	5.1	Open	5.1	5	41.38	-111.32
544	41.2	-112.55	5.2	5.2	Open	5.2	5	41.38	-111.32
545	41.2	-112.55	5.3	5.3	Open	5.3	5	41.38	-111.32
546	41.2	-112.55	5.4	5.4	Open	5.4	5	41.38	-111.32
547	41.2	-112.55	5.5	5.5	Open	5.5	6	41.42	-111.07
548	41.2	-112.55	5.6	5.6	Open	5.6	6	41.42	-111.07
549	41.2	-112.55	5.7	5.7	Open	5.7	6	41.42	-111.07
550	41.2	-112.55	5.8	5.8	Open	5.8	6	41.42	-111.07
551	41.2	-112.55	6.1	6.1	Open	6.1	6	41.42	-111.07
552	41.2	-112.55	6.4	6.4	Open	6.4	6	41.42	-111.07
553	41.2	-112.55	6.6	6.6	Open	6.6	7	41.45	-110.83
554	41.2	-112.55	7.2	7.2	Open	7.2	7	41.45	-110.83
555	41.2	-112.55	7.5	7.5	Open	7.5	8	41.49	-110.58
556	41.2	-112.55	7.8	7.8	Open	7.8	8	41.49	-110.58
557	41.2	-112.55	8.1	8.1	Open	8.1	8	41.49	-110.58
558	41.2	-112.55	8.4	8.4	Open	8.4	8	41.49	-110.58
559	41.2	-112.55	8.6	8.6	Open	8.6	9	41.52	-110.33
560	41.2	-112.55	8.9	8.9	Open	8.9	9	41.52	-110.33
561	41.2	-112.55	9.5	9.5	Open	9.5	10	41.55	-110.08
562	41.2	-112.55	9.7	9.7	Open	9.7	10	41.55	-110.08
563	41.2	-112.55	10	10	Open	10	10	41.55	-110.08
564	41.2	-112.55	10.3	10.3	Open	10.3	10	41.55	-110.08
565	41.2	-112.55	10.5	10.5	Open	10.5	10	41.55	-110.08
566	41.2	-112.55	10.6	10.6	Open	10.6	11	41.59	-109.84
567	41.2	-112.55	10.7	10.7	Open	10.7	11	41.59	-109.84
568	41.2	-112.55	11	11	Open	11	11	41.59	-109.84
569	41.2	-112.55	11.2	11.2	Open	11.2	11	41.59	-109.84
570	41.2	-112.55	11.4	11.4	Open	11.4	11	41.59	-109.84
571	41.2	-112.55	11.5	11.5	Open	11.5	12	41.63	-109.6
572	41.2	-112.55	11.8	11.8	Open	11.8	12	41.63	-109.6
573	41.2	-112.55	12	12	Open	12	12	41.63	-109.6
574	41.2	-112.55	12.4	12.4	Open	12.4	12	41.63	-109.6
575	41.2	-112.55	12.5	12.5	Open	12.5	12	41.63	-109.6
576	41.2	-112.55	12.7	12.7	Open	12.7	13	41.67	-109.36
577	41.2	-112.55	12.9	12.9	Open	12.9	13	41.67	-109.36
578	41.2	-112.55	13	13	Open	13	13	41.67	-109.36
579	41.2	-112.55	13.1	13.1	Open	13.1	13	41.67	-109.36
580	41.2	-112.55	13.2	13.2	Open	13.2	13	41.67	-109.36
581	41.2	-112.55	13.5	13.5	Open	13.5	14	41.71	-109.12
630	44	-111	9.2	9.2	Open	9.2	9	44.42	-109.06
647	43.83	-73.05	23	16	Closed	19.5	20	43.96	-68.44
649	42.5	-100	14	13	Open	13.5	14	43.03	-96.93
650	36.8	-100.5	12	10	Open	11	11	37.22	-98.17
651	35	-101	12	10	Open	11	11	35.42	-98.7
652	38.8	-101.2	6	5	Open	5.5	6	39.04	-99.92
653	39	-117.68	15.6	15.6	Closed	15.6	16	38.89	-112.21
654	42.25	-114.09	16.3	15	Closed	15.65	16	42.82	-110.21
655	39.39	-117.63	15.5	15.5	Closed	15.5	16	39.28	-112.16
668	75.37	-89.67	24.8	21.4	Closed	23.1	23	75.77	-79.58
669	42.41	-118.46	23	21	Closed	22	22	42.24	-110.94
670	36.19	-118.11	17.5	16.1	Open	16.8	17	36.07	-112.25
672	59.4	-151.7	16.8	15.8	Closed	16.3	16	60.33	-147.28
700	40.03	-74.33	11	11	Closed	11	11	40.17	-71.85
764	37.5	-77.4	7.2	3.6	Closed	5.4	5	37.59	-76.29
767	38.7	-76.8	7.2	5.3	Closed	6.25	6	38.8	-75.46
770	38.5	-75.2	7.2	3.6	Closed	5.4	5	38.58	-74.08
772	38.6	-75.5	7.2	3.6	Closed	5.4	5	38.68	-74.38
773	36.75	-76.4	4	3	Closed	3.5	4	36.82	-75.52
776	38.6	-75.1	3.6	2.6	Closed	3.1	3	38.65	-74.43
779	38.72	-76.82	10	6	Closed	8	8	38.85	-75.03
780	39.8	-119.6	15.6	15.6	Closed	15.6	16	39.67	-114.14
782	38	-117.5	16.4	15.1	Closed	15.75	16	37.89	-112.01
784	39.6	-119.33	14.8	14.7	Closed	14.75	15	39.48	-114.2
785	41.8	-119.8	16	16	Closed	16	16	41.67	-114.37
786	41.4	-119.29	16	16	Closed	16	16	41.28	-113.86
787	47.02	-116.26	23	11.6	Closed	17.3	17	47.9	-112.63
788	46.94	-116.26	16	16	Closed	16	16	47.76	-112.84
789	49.68	-115.57	14.5	14.5	Closed	14.5	14	50.39	-112.51
790	47.92	-118.95	14.5	14.5	Closed	14.5	14	48.66	-115.97
792	47.69	-117.31	14.5	14.5	Closed	14.5	14	48.42	-114.32
795	47.11	-116.35	14.5	14.5	Closed	14.5	14	47.83	-113.36
797	46.99	-116.25	14.5	14.5	Closed	14.5	14	47.71	-113.26
798	46.77	-116.28	14.5	14.5	Closed	14.5	14	47.49	-113.29
800	46.49	-116.71	14.5	14.5	Closed	14.5	14	47.21	-113.73
801	46.42	-116.26	14.5	14.5	Closed	14.5	14	46.33	-111.6
802	45.79	-116.28	14.5	14.5	Closed	14.5	14	45.7	-111.61
805	46.66	-103.02	13.1	13.1	Closed	13.1	13	47.18	-100.1
810	44.46	-119.47	15.4	15.4	Closed	15.4	15	44.34	-114.43
813	44.48	-118.76	16	11.6	Closed	13.8	14	44.37	-114.06
817	47.66	-117.42	16	5.3	Closed	10.65	11	48.22	-115.06
820	59.75	-151.17	5.3	2.6	Closed	3.95	4	59.96	-150.05
821	60.03	-151.7	5.3	2.6	Closed	3.95	4	60.25	-150.56
827	62.42	-150.6	11.6	5.3	Closed	8.45	8	62.8	-147.87
828	61.04	-151.4	11.6	5.3	Closed	8.45	8	61.46	-148.93
831	59.71	-151.29	11.6	5.3	Closed	8.45	8	60.13	-149.03
837	59.39	-151.75	11.6	5.3	Closed	8.45	8	59.83	-149.55
839	61.24	-151.25	16	11.6	Closed	13.8	14	61.99	-146.84
842	62.42	-150.6	16	11.6	Closed	13.8	14	63.11	-145.8
845	61.3	-151.77	16	11.6	Closed	13.8	14	62.08	-147.35
847	61.63	-149.85	16	11.6	Closed	13.8	14	62.27	-145.3
848	62.33	-151.53	16	11.6	Closed	13.8	14	63.09	-146.77
851	59.41	-151.74	16	11.6	Closed	13.8	14	60.21	-147.87
853	59.79	-152.61	23	11.6	Closed	17.3	17	60.85	-147.79
854	58.84	-153.29	23	16	Closed	19.5	20	60.19	-148
856	61.32	-149.58	23	16	Closed	19.5	20	62.24	-143.19
857	60.29	-152.45	23	16	Closed	19.5	20	61.52	-146.55
859	60.53	-152.32	23	16	Closed	19.5	20	61.74	-146.31
861	60.29	-152.43	23	16	Closed	19.5	20	61.52	-146.53
862	60.37	-152.34	23	16	Closed	19.5	20	61.59	-146.4
866	61.67	-149.15	23	16	Closed	19.5	20	62.54	-142.59
867	61.7	-149.09	23	16	Closed	19.5	20	62.56	-142.52
868	61.8	-143.17	16	11.6	Closed	13.8	14	61.97	-138.55
869	62.7	-149.2	5.3	2.6	Closed	3.95	4	62.87	-147.81
870	65.3	-164.1	11.6	5.3	Closed	8.45	8	65.77	-162.93
871	64.5	-165.4	3.6	1.8	Open	2.7	3	64.67	-164.97
873	41.35	-70.83	5.3	2.6	Closed	3.95	4	41.4	-69.91
875	41.35	-70.83	16	13.8	Closed	14.9	15	41.45	-67.43
876	41.32	-70.82	16	13.8	Closed	14.9	15	41.42	-67.42
880	46.94	-120.01	15.5	15.5	Closed	15.5	16	46.81	-114.69
881	40.45	-85.79	4	5	Open	4.5	4	40.56	-84.9
882	33.9	-116.9	4.4	3.5	Open	3.95	4	33.7	-115.64
883	44.75	-121.22	5.3	3	Closed	4.15	4	44.7	-119.88
888	27.47	-82.27	4.5	4	Closed	4.25	4	27.56	-81.44
889	27.47	-82.27	3.5	3	Closed	3.25	3	27.54	-81.65
897	27.47	-82.27	3	2.5	Closed	2.75	3	27.54	-81.65
914	78.37	-83.05	3.6	2.5	Closed	3.05	3	78.44	-81.7
919	77.86	-81.62	3.6	2.5	Closed	3.05	3	77.93	-80.3
923	79.7	-83.93	3.6	2.5	Closed	3.05	3	79.77	-82.48
924	78.47	-82.2	3.6	2.5	Open	3.05	3	78.54	-80.84
925	37.78	-118.47	5.3	3.6	Closed	4.45	4	37.74	-117.09
928	38.35	-122.63	3.6	2.6	Closed	3.1	3	38.31	-121.6
929	41.96	-121.51	2.6	2.6	Closed	2.6	3	41.92	-120.49
930	41.96	-121.51	2.62	2.62	Closed	2.62	3	41.92	-120.49
931	41.96	-121.51	2.64	2.64	Closed	2.64	3	41.92	-120.49
933	41.96	-121.51	2.66	2.66	Closed	2.66	3	41.92	-120.49
934	41.96	-121.51	2.67	2.67	Closed	2.67	3	41.92	-120.49
935	41.96	-121.51	2.69	2.69	Closed	2.69	3	41.92	-120.49
936	41.96	-121.51	2.71	2.71	Closed	2.71	3	41.92	-120.49
937	41.96	-121.51	2.72	2.72	Closed	2.72	3	41.92	-120.49
939	41.96	-121.51	2.73	2.73	Closed	2.73	3	41.92	-120.49
940	41.96	-121.51	2.75	2.75	Closed	2.75	3	41.92	-120.49
941	41.96	-121.51	2.76	2.76	Closed	2.76	3	41.92	-120.49
943	41.96	-121.51	2.77	2.77	Closed	2.77	3	41.92	-120.49
944	41.96	-121.51	2.78	2.78	Closed	2.78	3	41.92	-120.49
945	41.96	-121.51	2.79	2.79	Closed	2.79	3	41.92	-120.49
946	41.96	-121.51	2.8	2.8	Closed	2.8	3	41.92	-120.49
947	41.96	-121.51	2.81	2.81	Closed	2.81	3	41.92	-120.49
949	41.96	-121.51	2.82	2.82	Closed	2.82	3	41.92	-120.49
950	41.96	-121.51	2.83	2.83	Closed	2.83	3	41.92	-120.49
953	41.96	-121.51	2.86	2.86	Closed	2.86	3	41.92	-120.49
954	41.96	-121.51	2.87	2.87	Closed	2.87	3	41.92	-120.49
955	41.96	-121.51	2.89	2.89	Closed	2.89	3	41.92	-120.49
956	41.96	-121.51	2.9	2.9	Closed	2.9	3	41.92	-120.49
957	41.96	-121.51	2.92	2.92	Closed	2.92	3	41.92	-120.49
958	41.96	-121.51	2.93	2.93	Closed	2.93	3	41.92	-120.49
959	41.96	-121.51	2.95	2.95	Closed	2.95	3	41.92	-120.49
960	41.96	-121.51	2.96	2.96	Closed	2.96	3	41.92	-120.49
961	41.96	-121.51	2.97	2.97	Closed	2.97	3	41.92	-120.49
962	41.96	-121.51	2.99	2.99	Closed	2.99	3	41.92	-120.49
963	41.96	-121.51	3	3	Closed	3	3	41.92	-120.49
966	41.96	-121.51	3.01	3.01	Closed	3.01	3	41.92	-120.49
967	41.96	-121.51	3.02	3.02	Closed	3.02	3	41.92	-120.49
973	65.98	-162.99	5.9	5.5	Closed	5.7	6	66.34	-162.11
974	79.88	-99.05	3.1	2.9	Closed	3	3	79.99	-97.72
989	43.68	-115.832	12	10	Open	11	11	43.6	-112.12
993	44.314	-123.297	11.6	7.25	Closed	9.425	9	44.2	-120.25
997	38.7	-75.7	3.6	2.6	Closed	3.1	3	38.75	-75.03
998	36.7	-76.3	3.6	2.6	Closed	3.1	3	36.75	-75.64
999	36.3	-76.7	3.6	2.6	Closed	3.1	3	36.35	-76.04
1000	37.2	-76.5	5.3	2.6	Closed	3.95	4	37.27	-75.62
1001	36.95	-76.6	5.3	2.6	Closed	3.95	4	37.02	-75.72
1002	38.67	-75.3	11.6	5.3	Closed	8.45	8	38.79	-73.51
1003	38.7	-76.8	11.6	5.3	Closed	8.45	8	38.83	-75.01
1004	38.8	-75.4	11.6	5.3	Closed	8.45	8	38.92	-73.6
1005	39.2	-75.5	11.6	5.3	Closed	8.45	8	39.32	-73.7
1006	38	-76.5	12	9	Closed	10.5	10	38.15	-74.27
1008	39.2	-75.5	16	11.6	Closed	13.8	14	39.37	-72.39
1009	39.8	-76	12	9	Closed	10.5	10	39.95	-73.74
1011	43.08	-99.83	13.6	10.3	Open	11.95	12	43.53	-97.18
1014	43.08	-101.75	13.6	10.3	Open	11.95	12	43.55	-99.11
