index	Latitude	Longitude	Age.Max	Age.Min	mean_age	age_bin	paleolat	paleolon	Openness
492	41.7	-98.4	5.3	3.6	4.45	4	41.85	-97.52	Open
493	38.95	-100.56	5.3	3.6	4.45	4	39.11	-99.7	Open
494	42.45	-103.3	20.6	18.6	19.6	20	43.26	-98.98	Open
495	41.83	-103.11	22.6	20.6	21.6	22	42.66	-98.31	Open
496	42.1	-103.3	18.6	17.6	18.1	18	42.83	-99.42	Open
497	42.68	-102.69	17.6	16.3	16.95	17	43.36	-99.0	Open
498	42.87	-100.56	5.3	3.6	4.45	4	43.03	-99.68	Open
499	42.1	-114.6	7.4	7.4	7.4	7	42.34	-112.89	Open
500	42.08	-114.68	7.7	7.7	7.7	8	42.35	-112.73	Open
501	42.08	-115.22	8.0	8.0	8.0	8	42.35	-113.27	Open
502	42.0	-114.67	8.6	8.6	8.6	9	42.31	-112.47	Open
503	42.08	-113.93	9.3	9.3	9.3	9	42.39	-111.73	Open
504	42.4	-114.3	10.2	10.2	10.2	10	42.74	-111.86	Open
505	42.4	-114.3	10.4	10.4	10.4	10	42.74	-111.86	Open
506	42.42	-114.3	10.5	10.5	10.5	10	42.76	-111.86	Open
507	42.33	-114.28	10.55	10.55	10.55	11	42.71	-111.6	Open
508	42.3	-114.01	10.6	10.6	10.6	11	42.68	-111.33	Open
509	42.33	-114.27	10.7	10.7	10.7	11	42.71	-111.59	Open
510	42.3	-114.02	10.8	10.8	10.8	11	42.68	-111.34	Open
511	42.15	-114.07	11.6	11.6	11.6	12	42.57	-111.15	Open
512	41.96	-115.67	12.0	12.0	12.0	12	41.88	-111.6	Open
513	41.2	-112.55	2.6	2.6	2.6	3	41.31	-111.81	Open
515	41.2	-112.55	2.7	2.7	2.7	3	41.31	-111.81	Open
517	41.2	-112.55	2.8	2.8	2.8	3	41.31	-111.81	Open
518	41.2	-112.55	2.9	2.9	2.9	3	41.31	-111.81	Open
519	41.2	-112.55	3.0	3.0	3.0	3	41.31	-111.81	Open
521	41.2	-112.55	3.1	3.1	3.1	3	41.31	-111.81	Open
522	41.2	-112.55	3.2	3.2	3.2	3	41.31	-111.81	Open
524	41.2	-112.55	3.3	3.3	3.3	3	41.31	-111.81	Open
525	41.2	-112.55	3.4	3.4	3.4	3	41.31	-111.81	Open
528	41.2	-112.55	3.5	3.5	3.5	4	41.35	-111.57	Open
529	41.2	-112.55	3.6	3.6	3.6	4	41.35	-111.57	Open
530	41.2	-112.55	3.7	3.7	3.7	4	41.35	-111.57	Open
531	41.2	-112.55	3.9	3.9	3.9	4	41.35	-111.57	Open
532	41.2	-112.55	4.0	4.0	4.0	4	41.35	-111.57	Open
533	41.2	-112.55	4.1	4.1	4.1	4	41.35	-111.57	Open
534	41.2	-112.55	4.2	4.2	4.2	4	41.35	-111.57	Open
536	41.2	-112.55	4.4	4.4	4.4	4	41.35	-111.57	Open
537	41.2	-112.55	4.5	4.5	4.5	4	41.35	-111.57	Open
538	41.2	-112.55	4.6	4.6	4.6	5	41.38	-111.32	Open
539	41.2	-112.55	4.7	4.7	4.7	5	41.38	-111.32	Open
540	41.2	-112.55	4.8	4.8	4.8	5	41.38	-111.32	Open
541	41.2	-112.55	4.9	4.9	4.9	5	41.38	-111.32	Open
542	41.2	-112.55	5.0	5.0	5.0	5	41.38	-111.32	Open
543	41.2	-112.55	5.1	5.1	5.1	5	41.38	-111.32	Open
544	41.2	-112.55	5.2	5.2	5.2	5	41.38	-111.32	Open
545	41.2	-112.55	5.3	5.3	5.3	5	41.38	-111.32	Open
546	41.2	-112.55	5.4	5.4	5.4	5	41.38	-111.32	Open
547	41.2	-112.55	5.5	5.5	5.5	6	41.42	-111.07	Open
548	41.2	-112.55	5.6	5.6	5.6	6	41.42	-111.07	Open
549	41.2	-112.55	5.7	5.7	5.7	6	41.42	-111.07	Open
550	41.2	-112.55	5.8	5.8	5.8	6	41.42	-111.07	Open
551	41.2	-112.55	6.1	6.1	6.1	6	41.42	-111.07	Open
552	41.2	-112.55	6.4	6.4	6.4	6	41.42	-111.07	Open
553	41.2	-112.55	6.6	6.6	6.6	7	41.45	-110.83	Open
554	41.2	-112.55	7.2	7.2	7.2	7	41.45	-110.83	Open
555	41.2	-112.55	7.5	7.5	7.5	8	41.49	-110.58	Open
556	41.2	-112.55	7.8	7.8	7.8	8	41.49	-110.58	Open
557	41.2	-112.55	8.1	8.1	8.1	8	41.49	-110.58	Open
558	41.2	-112.55	8.4	8.4	8.4	8	41.49	-110.58	Open
559	41.2	-112.55	8.6	8.6	8.6	9	41.52	-110.33	Open
560	41.2	-112.55	8.9	8.9	8.9	9	41.52	-110.33	Open
561	41.2	-112.55	9.5	9.5	9.5	10	41.55	-110.08	Open
562	41.2	-112.55	9.7	9.7	9.7	10	41.55	-110.08	Open
563	41.2	-112.55	10.0	10.0	10.0	10	41.55	-110.08	Open
564	41.2	-112.55	10.3	10.3	10.3	10	41.55	-110.08	Open
565	41.2	-112.55	10.5	10.5	10.5	10	41.55	-110.08	Open
566	41.2	-112.55	10.6	10.6	10.6	11	41.59	-109.84	Open
567	41.2	-112.55	10.7	10.7	10.7	11	41.59	-109.84	Open
568	41.2	-112.55	11.0	11.0	11.0	11	41.59	-109.84	Open
569	41.2	-112.55	11.2	11.2	11.2	11	41.59	-109.84	Open
570	41.2	-112.55	11.4	11.4	11.4	11	41.59	-109.84	Open
571	41.2	-112.55	11.5	11.5	11.5	12	41.63	-109.6	Open
572	41.2	-112.55	11.8	11.8	11.8	12	41.63	-109.6	Open
573	41.2	-112.55	12.0	12.0	12.0	12	41.63	-109.6	Open
574	41.2	-112.55	12.4	12.4	12.4	12	41.63	-109.6	Open
575	41.2	-112.55	12.5	12.5	12.5	12	41.63	-109.6	Open
576	41.2	-112.55	12.7	12.7	12.7	13	41.67	-109.36	Open
577	41.2	-112.55	12.9	12.9	12.9	13	41.67	-109.36	Open
578	41.2	-112.55	13.0	13.0	13.0	13	41.67	-109.36	Open
579	41.2	-112.55	13.1	13.1	13.1	13	41.67	-109.36	Open
580	41.2	-112.55	13.2	13.2	13.2	13	41.67	-109.36	Open
581	41.2	-112.55	13.5	13.5	13.5	14	41.71	-109.12	Open
630	44.0	-111.0	9.2	9.2	9.2	9	44.42	-109.06	Open
647	43.83	-73.05	23.0	16.0	19.5	20	43.96	-68.44	Closed
649	42.5	-100.0	14.0	13.0	13.5	14	43.03	-96.93	Open
650	36.8	-100.5	12.0	10.0	11.0	11	37.22	-98.17	Open
651	35.0	-101.0	12.0	10.0	11.0	11	35.42	-98.7	Open
652	38.8	-101.2	6.0	5.0	5.5	6	39.04	-99.92	Open
653	39.0	-117.68	15.6	15.6	15.6	16	38.89	-112.21	Closed
654	42.25	-114.09	16.3	15.0	15.65	16	42.82	-110.21	Closed
655	39.39	-117.63	15.5	15.5	15.5	16	39.28	-112.16	Closed
668	75.37	-89.67	24.8	21.4	23.1	23	75.77	-79.58	Closed
669	42.41	-118.46	23.0	21.0	22.0	22	42.24	-110.94	Closed
670	36.19	-118.11	17.5	16.1	16.8	17	36.07	-112.25	Open
672	59.4	-151.7	16.8	15.8	16.3	16	60.33	-147.28	Closed
700	40.03	-74.33	11.0	11.0	11.0	11	40.17	-71.85	Closed
764	37.5	-77.4	7.2	3.6	5.4	5	37.59	-76.29	Closed
767	38.7	-76.8	7.2	5.3	6.25	6	38.8	-75.46	Closed
770	38.5	-75.2	7.2	3.6	5.4	5	38.58	-74.08	Closed
772	38.6	-75.5	7.2	3.6	5.4	5	38.68	-74.38	Closed
773	36.75	-76.4	4.0	3.0	3.5	4	36.82	-75.52	Closed
776	38.6	-75.1	3.6	2.6	3.1	3	38.65	-74.43	Closed
779	38.72	-76.82	10.0	6.0	8.0	8	38.85	-75.03	Closed
780	39.8	-119.6	15.6	15.6	15.6	16	39.67	-114.14	Closed
782	38.0	-117.5	16.4	15.1	15.75	16	37.89	-112.01	Closed
784	39.6	-119.33	14.8	14.7	14.75	15	39.48	-114.2	Closed
785	41.8	-119.8	16.0	16.0	16.0	16	41.67	-114.37	Closed
786	41.4	-119.29	16.0	16.0	16.0	16	41.28	-113.86	Closed
787	47.02	-116.26	23.0	11.6	17.3	17	47.9	-112.63	Closed
788	46.94	-116.26	16.0	16.0	16.0	16	47.76	-112.84	Closed
789	49.68	-115.57	14.5	14.5	14.5	14	50.39	-112.51	Closed
790	47.92	-118.95	14.5	14.5	14.5	14	48.66	-115.97	Closed
792	47.69	-117.31	14.5	14.5	14.5	14	48.42	-114.32	Closed
795	47.11	-116.35	14.5	14.5	14.5	14	47.83	-113.36	Closed
797	46.99	-116.25	14.5	14.5	14.5	14	47.71	-113.26	Closed
798	46.77	-116.28	14.5	14.5	14.5	14	47.49	-113.29	Closed
800	46.49	-116.71	14.5	14.5	14.5	14	47.21	-113.73	Closed
801	46.42	-116.26	14.5	14.5	14.5	14	46.33	-111.6	Closed
802	45.79	-116.28	14.5	14.5	14.5	14	45.7	-111.61	Closed
805	46.66	-103.02	13.1	13.1	13.1	13	47.18	-100.1	Closed
810	44.46	-119.47	15.4	15.4	15.4	15	44.34	-114.43	Closed
813	44.48	-118.76	16.0	11.6	13.8	14	44.37	-114.06	Closed
817	47.66	-117.42	16.0	5.3	10.65	11	48.22	-115.06	Closed
820	59.75	-151.17	5.3	2.6	3.95	4	59.96	-150.05	Closed
821	60.03	-151.7	5.3	2.6	3.95	4	60.25	-150.56	Closed
827	62.42	-150.6	11.6	5.3	8.45	8	62.8	-147.87	Closed
828	61.04	-151.4	11.6	5.3	8.45	8	61.46	-148.93	Closed
831	59.71	-151.29	11.6	5.3	8.45	8	60.13	-149.03	Closed
837	59.39	-151.75	11.6	5.3	8.45	8	59.83	-149.55	Closed
839	61.24	-151.25	16.0	11.6	13.8	14	61.99	-146.84	Closed
842	62.42	-150.6	16.0	11.6	13.8	14	63.11	-145.8	Closed
845	61.3	-151.77	16.0	11.6	13.8	14	62.08	-147.35	Closed
847	61.63	-149.85	16.0	11.6	13.8	14	62.27	-145.3	Closed
848	62.33	-151.53	16.0	11.6	13.8	14	63.09	-146.77	Closed
851	59.41	-151.74	16.0	11.6	13.8	14	60.21	-147.87	Closed
853	59.79	-152.61	23.0	11.6	17.3	17	60.85	-147.79	Closed
854	58.84	-153.29	23.0	16.0	19.5	20	60.19	-148.0	Closed
856	61.32	-149.58	23.0	16.0	19.5	20	62.24	-143.19	Closed
857	60.29	-152.45	23.0	16.0	19.5	20	61.52	-146.55	Closed
859	60.53	-152.32	23.0	16.0	19.5	20	61.74	-146.31	Closed
861	60.29	-152.43	23.0	16.0	19.5	20	61.52	-146.53	Closed
862	60.37	-152.34	23.0	16.0	19.5	20	61.59	-146.4	Closed
866	61.67	-149.15	23.0	16.0	19.5	20	62.54	-142.59	Closed
867	61.7	-149.09	23.0	16.0	19.5	20	62.56	-142.52	Closed
868	61.8	-143.17	16.0	11.6	13.8	14	61.97	-138.55	Closed
869	62.7	-149.2	5.3	2.6	3.95	4	62.87	-147.81	Closed
870	65.3	-164.1	11.6	5.3	8.45	8	65.77	-162.93	Closed
871	64.5	-165.4	3.6	1.8	2.7	3	64.67	-164.97	Open
873	41.35	-70.83	5.3	2.6	3.95	4	41.4	-69.91	Closed
875	41.35	-70.83	16.0	13.8	14.9	15	41.45	-67.43	Closed
876	41.32	-70.82	16.0	13.8	14.9	15	41.42	-67.42	Closed
880	46.94	-120.01	15.5	15.5	15.5	16	46.81	-114.69	Closed
881	40.45	-85.79	4.0	5.0	4.5	4	40.56	-84.9	Open
882	33.9	-116.9	4.4	3.5	3.95	4	33.7	-115.64	Open
883	44.75	-121.22	5.3	3.0	4.15	4	44.7	-119.88	Closed
888	27.47	-82.27	4.5	4.0	4.25	4	27.56	-81.44	Closed
889	27.47	-82.27	3.5	3.0	3.25	3	27.54	-81.65	Closed
897	27.47	-82.27	3.0	2.5	2.75	3	27.54	-81.65	Closed
914	78.37	-83.05	3.6	2.5	3.05	3	78.44	-81.7	Closed
919	77.86	-81.62	3.6	2.5	3.05	3	77.93	-80.3	Closed
923	79.7	-83.93	3.6	2.5	3.05	3	79.77	-82.48	Closed
924	78.47	-82.2	3.6	2.5	3.05	3	78.54	-80.84	Open
925	37.78	-118.47	5.3	3.6	4.45	4	37.74	-117.09	Closed
928	38.35	-122.63	3.6	2.6	3.1	3	38.31	-121.6	Closed
929	41.96	-121.51	2.6	2.6	2.6	3	41.92	-120.49	Closed
930	41.96	-121.51	2.62	2.62	2.62	3	41.92	-120.49	Closed
931	41.96	-121.51	2.64	2.64	2.64	3	41.92	-120.49	Closed
933	41.96	-121.51	2.66	2.66	2.66	3	41.92	-120.49	Closed
934	41.96	-121.51	2.67	2.67	2.67	3	41.92	-120.49	Closed
935	41.96	-121.51	2.69	2.69	2.69	3	41.92	-120.49	Closed
936	41.96	-121.51	2.71	2.71	2.71	3	41.92	-120.49	Closed
937	41.96	-121.51	2.72	2.72	2.72	3	41.92	-120.49	Closed
939	41.96	-121.51	2.73	2.73	2.73	3	41.92	-120.49	Closed
940	41.96	-121.51	2.75	2.75	2.75	3	41.92	-120.49	Closed
941	41.96	-121.51	2.76	2.76	2.76	3	41.92	-120.49	Closed
943	41.96	-121.51	2.77	2.77	2.77	3	41.92	-120.49	Closed
944	41.96	-121.51	2.78	2.78	2.78	3	41.92	-120.49	Closed
945	41.96	-121.51	2.79	2.79	2.79	3	41.92	-120.49	Closed
946	41.96	-121.51	2.8	2.8	2.8	3	41.92	-120.49	Closed
947	41.96	-121.51	2.81	2.81	2.81	3	41.92	-120.49	Closed
949	41.96	-121.51	2.82	2.82	2.82	3	41.92	-120.49	Closed
950	41.96	-121.51	2.83	2.83	2.83	3	41.92	-120.49	Closed
953	41.96	-121.51	2.86	2.86	2.86	3	41.92	-120.49	Closed
954	41.96	-121.51	2.87	2.87	2.87	3	41.92	-120.49	Closed
955	41.96	-121.51	2.89	2.89	2.89	3	41.92	-120.49	Closed
956	41.96	-121.51	2.9	2.9	2.9	3	41.92	-120.49	Closed
957	41.96	-121.51	2.92	2.92	2.92	3	41.92	-120.49	Closed
958	41.96	-121.51	2.93	2.93	2.93	3	41.92	-120.49	Closed
959	41.96	-121.51	2.95	2.95	2.95	3	41.92	-120.49	Closed
960	41.96	-121.51	2.96	2.96	2.96	3	41.92	-120.49	Closed
961	41.96	-121.51	2.97	2.97	2.97	3	41.92	-120.49	Closed
962	41.96	-121.51	2.99	2.99	2.99	3	41.92	-120.49	Closed
963	41.96	-121.51	3.0	3.0	3.0	3	41.92	-120.49	Closed
966	41.96	-121.51	3.01	3.01	3.01	3	41.92	-120.49	Closed
967	41.96	-121.51	3.02	3.02	3.02	3	41.92	-120.49	Closed
973	65.98	-162.99	5.9	5.5	5.7	6	66.34	-162.11	Closed
