x	y	veg	x_albers	y_albers
-81.25	76.75	1	690693	5514640
-80.75	76.75	1	713909	5518336
-80.25	76.75	1	737104	5522153
-79.75	76.75	1	760279	5526092
-79.25	76.75	1	783434	5530153
-78.75	76.75	1	806566	5534336
-78.25	76.75	1	829676	5538640
-69.25	76.75	1	1241115	5636769
-68.75	76.75	1	1263680	5643358
-68.25	76.75	1	1286210	5650066
-67.75	76.75	1	1308705	5656893
-67.25	76.75	1	1331163	5663837
-66.75	76.75	1	1353585	5670900
-66.25	76.75	1	1375969	5678080
-65.75	76.75	1	1398315	5685379
-65.25	76.75	1	1420622	5692794
-64.75	76.75	1	1442890	5700327
-64.25	76.75	1	1465118	5707977
-63.75	76.75	1	1487305	5715744
-63.25	76.75	1	1509452	5723628
-62.75	76.75	1	1531556	5731627
-62.25	76.75	1	1553618	5739744
-61.75	76.75	1	1575637	5747976
-61.25	76.75	1	1597613	5756323
-60.75	76.75	1	1619544	5764787
-60.25	76.75	1	1641430	5773365
-59.75	76.75	1	1663271	5782059
-59.25	76.75	1	1685066	5790867
-58.75	76.75	1	1706814	5799790
-58.25	76.75	1	1728515	5808827
-57.75	76.75	1	1750169	5817978
-57.25	76.75	1	1771773	5827243
-56.75	76.75	1	1793329	5836622
-56.25	76.75	1	1814835	5846114
-55.75	76.75	1	1836291	5855719
-55.25	76.75	1	1857696	5865436
-54.75	76.75	1	1879050	5875267
-54.25	76.75	1	1900351	5885209
-53.75	76.75	1	1921600	5895263
-53.25	76.75	1	1942796	5905429
-52.75	76.75	1	1963938	5915706
-52.25	76.75	1	1985025	5926095
-122.25	76.25	1	-1226927	5600625
-121.75	76.25	1	-1204137	5594229
-121.25	76.25	1	-1181314	5587954
-120.75	76.25	1	-1158459	5581799
-120.25	76.25	1	-1135571	5575764
-119.75	76.25	1	-1112652	5569850
-119.25	76.25	1	-1089702	5564056
-115.75	76.25	1	-928245	5526892
-115.25	76.25	1	-905071	5522069
-114.75	76.25	1	-881873	5517368
-114.25	76.25	1	-858650	5512790
-109.25	76.25	1	-625222	5473745
-108.75	76.25	1	-601773	5470517
-101.25	76.25	1	-248407	5436952
-99.75	76.25	1	-177478	5433591
-99.25	76.25	1	-153824	5432719
-98.75	76.25	1	-130166	5431972
-98.25	76.25	1	-106504	5431349
-97.75	76.25	1	-82840	5430851
-92.75	76.25	1	153824	5432719
-92.25	76.25	1	177478	5433591
-91.75	76.25	1	201127	5434587
-91.25	76.25	1	224770	5435707
-80.75	76.25	1	718837	5487889
-80.25	76.25	1	742193	5491732
-68.25	76.25	1	1295089	5620529
-67.75	76.25	1	1317739	5627402
-67.25	76.25	1	1340352	5634395
-66.75	76.25	1	1362929	5641506
-66.25	76.25	1	1385467	5648736
-65.75	76.25	1	1407967	5656085
-65.25	76.25	1	1430429	5663552
-64.75	76.25	1	1452850	5671137
-63.75	76.25	1	1497572	5686660
-62.25	76.25	1	1564343	5710825
-61.75	76.25	1	1586514	5719114
-61.25	76.25	1	1608641	5727519
-60.75	76.25	1	1630724	5736041
-60.25	76.25	1	1652761	5744679
-59.75	76.25	1	1674753	5753432
-59.25	76.25	1	1696698	5762301
-58.75	76.25	1	1718597	5771286
-58.25	76.25	1	1740448	5780386
-57.75	76.25	1	1762250	5789600
-57.25	76.25	1	1784004	5798929
-56.75	76.25	1	1805709	5808372
-56.25	76.25	1	1827363	5817930
-55.75	76.25	1	1848967	5827601
-55.25	76.25	1	1870520	5837386
-54.75	76.25	1	1892021	5847284
-54.25	76.25	1	1913469	5857295
-53.75	76.25	1	1934865	5867418
-53.25	76.25	1	1956207	5877654
-52.75	76.25	1	1977495	5888003
-52.25	76.25	1	1998728	5898463
-116.25	75.75	1	-958104	5500815
-115.75	75.75	1	-934793	5495835
-115.25	75.75	1	-911457	5490978
-114.75	75.75	1	-888095	5486244
-114.25	75.75	1	-864708	5481633
-113.75	75.75	1	-841297	5477145
-113.25	75.75	1	-817864	5472781
-112.75	75.75	1	-794407	5468539
-112.25	75.75	1	-770929	5464421
-111.75	75.75	1	-747429	5460427
-108.75	75.75	1	-606018	5439063
-108.25	75.75	1	-582387	5435936
-107.75	75.75	1	-558740	5432934
-107.25	75.75	1	-535078	5430057
-106.75	75.75	1	-511400	5427304
-106.25	75.75	1	-487709	5424676
-101.25	75.75	1	-250160	5405260
-100.75	75.75	1	-226356	5404007
-100.25	75.75	1	-202546	5402878
-99.75	75.75	1	-178730	5401875
-99.25	75.75	1	-154909	5400998
-98.75	75.75	1	-131084	5400245
-98.25	75.75	1	-107256	5399618
-97.75	75.75	1	-83424	5399117
-91.75	75.75	1	202546	5402878
-91.25	75.75	1	226356	5404007
-90.75	75.75	1	250160	5405260
-90.25	75.75	1	273957	5406639
-89.75	75.75	1	297746	5408143
-82.75	75.75	1	629633	5442313
-82.25	75.75	1	653229	5445688
-58.75	75.75	1	1730722	5741953
-58.25	75.75	1	1752727	5751117
-57.75	75.75	1	1774683	5760396
-57.25	75.75	1	1796591	5769791
-56.75	75.75	1	1818448	5779301
-56.25	75.75	1	1840255	5788926
-55.75	75.75	1	1862012	5798665
-55.25	75.75	1	1883717	5808519
-54.75	75.75	1	1905369	5818487
-54.25	75.75	1	1926969	5828569
-53.75	75.75	1	1948516	5838764
-53.25	75.75	1	1970008	5849072
-52.75	75.75	1	1991447	5859493
-52.25	75.75	1	2012830	5870027
-116.25	75.25	1	-965002	5468937
-115.75	75.25	1	-941523	5463922
-115.25	75.25	1	-918018	5459030
-114.75	75.25	1	-894488	5454262
-113.25	75.25	1	-823751	5440701
-112.75	75.25	1	-800126	5436429
-112.25	75.25	1	-776479	5432282
-111.75	75.25	1	-752810	5428259
