lon	lat	age	label	paleolon	paleolat	x_albers	y_albers	rounded_ages
-122.53	38.193000000000005	3.95	0	-121.15	38.14	-2271797	2003636	4.4665
-122.11	37.85	3.95	0	-120.73	37.8	-2247179	1956671	4.4665
-122.14	37.88	3.95	0	-120.76	37.83	-2248782	1960617	4.4665
-122.5	37.69	3.95	0	-121.12	37.64	-2284812	1948720	4.4665
-122.04	37.28	3.95	0	-120.66	37.23	-2258591	1893520	4.4665
-123.8	40.12	3.95	0	-122.43	40.07	-2315223	2241494	4.4665
-123.81	40.12	3.95	0	-122.44	40.07	-2316032	2241737	4.4665
-123.73	40.06	3.95	0	-122.36	40.01	-2311494	2233352	4.4665
-120.45	41.49	3.1	0	-119.43	41.46	-2003814	2313047	3.09
-120.28	36.05	3.95	0	-118.89	36.01	-2144221	1719750	4.4665
-119.28	34.35	3.95	0	-118.02	34.14	-2103859	1513085	4.4665
-132.02	54.02	7.1	0	-130.62	54.41	-2403797	3893539	6.2895
-123.77799999999999	47.043	8.45	0	-121.11	46.93	-2090982	2980238	9.438
-93.059	31.088	12.25	0	-90.58	31.46	279676	894581	12.725000000000001
-122.59899999999999	53.085	8.45	0	-120.87	53.51	-1822321	3589041	9.438
-118.171	44.715	8.45	0	-115.48	44.64	-1737356	2617581	9.438
-135.75	69.33	3.1	0	-135.1	69.51	-2034399	5352163	3.09
-135.75	69.33	3.95	0	-134.88	69.56	-2034399	5352163	4.4665
-135.75	69.33	17.3	1	-131.82	70.4	-2034399	5352163	18.205000000000002
-104.8	40.93	21.35	0	-100.31	41.79	-733983	2025160	21.735
-104.03	40.78	18.7	1	-99.99	41.56	-671337	2002734	18.205000000000002
-103.92	40.99	17.95	1	-100.08	41.73	-660205	2025398	18.205000000000002
-103.94	40.89	14.4	1	-100.94	41.47	-662802	2014378	14.895
-104.03	40.78	13.3	1	-101.25	41.32	-671337	2002734	12.725000000000001
-103.89	40.74	11.5	0	-101.31	41.23	-660031	1997290	9.438
-110.98	46.71	27.5	0	-104.47	47.82	-1144890	2726006	25.425
-113.06	46.71	27.5	1	-106.6	47.89	-1302254	2752787	25.425
-111.92	46.01	24.15	0	-106.55	47.08	-1229020	2661155	25.425
-111.85	45.99	19.0	0	-107.74	46.9	-1224035	2658062	18.205000000000002
-113.26	44.78	21.0	0	-108.19	45.54	-1356071	2544718	21.735
-113.25	44.79	16.3	1	-109.42	45.37	-1355093	2545671	18.205000000000002
-113.25	44.8	15.1	1	-109.65	45.35	-1354892	2546766	14.895
-112.55	44.93	15.8	1	-109.13	45.71	-1297972	2551238	14.895
-111.43	45.75	14.15	0	-108.4	46.41	-1196197	2626426	14.895
-114.2	45.9	13.4	1	-111.11	46.36	-1405340	2680742	12.725000000000001
-103.53	42.76	29.0	0	-96.93	43.62	-612091	2220149	30.86
-103.68	42.3	28.4	0	-97.36	43.16	-628409	2169871	30.86
-104.77	42.65	28.4	0	-98.44	43.55	-713754	2216551	30.86
-103.93	42.75	28.1	0	-97.59	43.62	-644625	2221680	30.86
-103.93	42.75	26.2	0	-98.09	43.62	-644625	2221680	25.425
-103.88	42.03	26.5	0	-98.08	42.9	-647237	2141118	25.425
-103.01	42.72	25.0	0	-97.41	43.56	-570231	2212458	25.425
-103.93	42.69	19.8	1	-99.61	43.51	-645184	2214998	18.205000000000002
-103.46	42.43	24.0	1	-98.14	43.28	-609305	2182928	25.425
-103.72	41.7	19.2	1	-99.64	42.48	-637121	2103240	18.205000000000002
-104.02	42.67	19.1	1	-99.91	43.45	-652678	2213385	18.205000000000002
-103.46	42.43	19.1	1	-99.35	43.2	-609305	2182928	18.205000000000002
-104.06	42.34	18.9	1	-99.96	43.12	-659050	2176902	18.205000000000002
-103.76	42.42	18.9	1	-99.66	43.2	-633846	2183775	18.205000000000002
-104.01	42.6	18.9	1	-99.91	43.38	-652524	2205521	18.205000000000002
-101.77	42.81	19.1	1	-97.63	43.55	-468890	2215713	18.205000000000002
-103.37	42.43	18.5	1	-99.48	43.16	-601969	2182354	18.205000000000002
-103.04	42.48	18.1	1	-99.14	43.2	-574652	2185885	18.205000000000002
-102.02	42.77	18.1	1	-98.1	43.48	-489462	2212512	18.205000000000002
-102.59	42.56	17.5	1	-98.68	43.28	-537361	2192173	18.205000000000002
-103.07	42.44	17.0	1	-99.39	43.13	-577429	2181607	18.205000000000002
-103.72	42.17	16.1	1	-100.27	42.83	-632854	2155646	18.205000000000002
-102.8	42.64	16.5	1	-99.33	43.28	-553817	2202298	18.205000000000002
-103.72	42.17	15.6	1	-100.27	42.83	-632854	2155646	14.895
-102.85	42.69	15.0	1	-99.59	43.29	-557480	2208164	14.895
-100.5	42.8	11.8	1	-97.86	43.26	-365826	2209020	12.725000000000001
-99.82	42.73	11.4	1	-97.39	43.14	-310892	2198784	9.438
-100.82	42.75	10.8	1	-98.4	43.17	-392102	2204715	9.438
-99.94	42.71	9.5	1	-97.73	43.08	-320746	2196949	9.438
-100.27	42.91	9.0	1	-98.28	43.26	-346589	2220435	9.438
-106.03	35.99	15.8	0	-102.75	36.68	-894528	1484867	14.895
-106.03	35.99	13.75	0	-103.15	36.59	-894528	1484867	12.725000000000001
-97.86195759999998	42.8164657	5.25	1	-96.75	43.0	-151378	2203680	4.4665
-103.7732699	41.5239548	6.0	1	-102.48	41.77	-643117	2083963	6.2895
-103.6247423	41.177774600000006	7.0	1	-102.11	41.47	-633961	2044341	6.2895
-100.0224186	42.8244219	9.5	1	-97.81	43.2	-326910	2210005	9.438
-102.13171159999999	41.2649071	10.15	1	-99.95	41.66	-509387	2045089	9.438
-99.8301638	37.425487200000006	7.0	1	-98.34	37.69	-335657	1605201	6.2895
-99.5385375	39.0011182	8.5	1	-97.81	39.31	-303538	1780687	9.438
-74.76	39.43	18.5	0	-70.78	39.6	1796615	2024716	18.205000000000002
-73.05	43.84	17.5	0	-68.9	43.97	1820551	2537375	18.205000000000002
-103.79	42.19	16.4	1	-100.34	42.85	-638397	2158344	18.205000000000002
-98.23	42.39	19.5	1	-93.85	43.09	-182414	2156669	18.205000000000002
-119.0	46.0	7.5	0	-116.33	45.92	-1766828	2771715	9.438
-115.0	42.0	3.0	1	-114.27	42.1	-1552666	2266644	3.09
-115.0	42.0	10.65	0	-112.32	42.37	-1552666	2266644	9.438
-107.0	40.0	18.45	1	-103.22	40.79	-928772	1940790	18.205000000000002
-107.0	41.0	18.45	1	-103.19	41.79	-915835	2052054	18.205000000000002
-107.0	41.0	14.95	1	-103.82	41.66	-915835	2052054	14.895
-114.1	42.24	11.95	0	-111.18	42.66	-1474951	2278641	12.725000000000001
-118.81	43.74	11.95	0	-114.76	43.63	-1812313	2523865	12.725000000000001
-117.03	43.26	14.95	0	-111.97	43.16	-1685063	2438951	14.895
-99.76	39.9	4.45	1	-98.9	40.05	-318541	1882075	4.4665
-99.76	39.85	4.45	1	-98.9	40.0	-318763	1876477	4.4665
-101.37	40.42	4.45	1	-100.51	40.58	-451524	1946792	4.4665
-99.54	39.95	4.45	1	-98.67	40.1	-299703	1886958	4.4665
-102.2	39.9	4.45	1	-101.34	40.06	-525019	1892905	4.4665
-102.14	41.33	4.45	1	-101.27	41.49	-509604	2052405	4.4665
-98.73	39.74	4.45	1	-97.86	39.89	-231825	1861174	4.4665
-100.2	39.84	4.45	1	-99.34	40.0	-356091	1876919	4.4665
-98.4	41.7	4.45	1	-97.52	41.85	-198266	2079852	4.4665
-100.56	38.95	4.45	1	-99.7	39.11	-391375	1778698	4.4665
-103.3	42.45	19.6	1	-98.98	43.26	-596091	2184142	18.205000000000002
-103.11	41.83	21.6	1	-98.31	42.66	-585789	2113817	21.735
-103.3	42.1	18.1	1	-99.42	42.83	-599095	2145119	18.205000000000002
-102.69	42.68	16.95	1	-99.0	43.36	-544559	2206122	18.205000000000002
-100.56	42.87	4.45	1	-99.68	43.03	-370325	2217065	4.4665
-114.6	42.1	7.4	1	-112.89	42.34	-1518226	2271149	9.438
-114.68	42.08	7.7	1	-112.73	42.35	-1525109	2270235	9.438
-115.22	42.08	8.0	1	-113.27	42.35	-1568603	2279025	9.438
-114.67	42.0	8.6	1	-112.47	42.31	-1526050	2261298	9.438
-113.93	42.08	9.3	1	-111.73	42.39	-1464620	2258438	9.438
-114.3	42.4	10.2	1	-111.86	42.74	-1487624	2299322	9.438
-114.3	42.42	10.5	1	-111.86	42.76	-1487196	2301517	9.438
-114.28	42.33	10.55	1	-111.6	42.71	-1487515	2291327	9.438
-114.01	42.3	10.6	1	-111.33	42.68	-1466442	2283837	9.438
-114.27	42.33	10.7	1	-111.59	42.71	-1486711	2291170	9.438
-114.02	42.3	10.8	1	-111.34	42.68	-1467246	2283991	9.438
-114.07	42.15	11.6	1	-111.15	42.57	-1474439	2268292	9.438
-115.67	41.96	12.0	1	-111.6	41.88	-1607567	2273402	12.725000000000001
-112.55	41.2	3.3	1	-111.81	41.31	-1370147	2140992	3.09
-112.55	41.2	4.7	1	-111.32	41.38	-1370147	2140992	4.4665
-112.55	41.2	6.4	1	-111.07	41.42	-1370147	2140992	6.2895
-112.55	41.2	11.5	1	-109.6	41.63	-1370147	2140992	9.438
-112.55	41.2	12.0	1	-109.6	41.63	-1370147	2140992	12.725000000000001
-111.0	44.0	9.2	1	-109.06	44.42	-1193760	2428727	9.438
-73.05	43.83	19.5	0	-68.44	43.96	1820818	2536292	18.205000000000002
-100.0	42.5	13.5	1	-96.93	43.03	-326615	2173701	12.725000000000001
-100.5	36.8	11.0	1	-98.17	37.22	-397635	1537764	9.438
-101.0	35.0	11.0	1	-98.7	35.42	-452377	1338704	9.438
-101.2	38.8	5.5	1	-99.92	39.04	-447173	1764731	6.2895
-117.68	39.0	15.6	0	-112.21	38.89	-1844091	1986174	14.895
-114.09	42.25	15.65	0	-110.21	42.82	-1473935	2279584	14.895
-117.63	39.39	15.5	0	-112.16	39.28	-1830049	2027788	14.895
-89.67	75.37	23.1	0	-79.58	75.77	303196	5383741	25.425
-118.46	42.41	22.0	0	-110.94	42.24	-1819811	2372817	21.735
-118.11	36.19	16.8	1	-112.25	36.07	-1952614	1688189	18.205000000000002
-151.7	59.4	16.3	0	-147.28	60.33	-3283221	4983863	18.205000000000002
-74.33	40.03	11.0	0	-71.85	40.17	1817162	2098421	9.438
-77.4	37.5	5.4	0	-76.29	37.59	1618441	1765675	6.2895
-76.8	38.7	6.25	0	-75.46	38.8	1642959	1907819	6.2895
-75.2	38.5	5.4	0	-74.08	38.58	1782633	1914733	6.2895
-75.5	38.6	5.4	0	-74.38	38.68	1754925	1920095	6.2895
-76.4	36.75	3.5	0	-75.52	36.82	1721459	1700898	3.09
-75.1	38.6	3.1	0	-74.43	38.65	1788619	1927552	3.09
-76.82	38.72	8.0	0	-75.03	38.85	1640822	1909670	9.438
-119.6	39.8	15.6	0	-114.14	39.67	-1982139	2111956	14.895
-117.5	38.0	15.75	0	-112.01	37.89	-1854186	1873466	14.895
-119.33	39.6	14.75	0	-114.2	39.48	-1965369	2084616	14.895
-119.8	41.8	16.0	0	-114.37	41.67	-1943079	2333128	18.205000000000002
-119.29	41.4	16.0	0	-113.86	41.28	-1913149	2279383	18.205000000000002
-116.26	47.02	17.3	0	-112.63	47.9	-1535848	2834239	18.205000000000002
-116.26	46.94	16.0	0	-112.84	47.76	-1537721	2825586	18.205000000000002
-115.57	49.68	14.5	0	-112.51	50.39	-1424406	3109983	14.895
-118.95	47.92	14.5	0	-115.97	48.66	-1712247	2977099	14.895
-117.31	47.69	14.5	0	-114.32	48.42	-1597673	2923841	14.895
-116.35	47.11	14.5	0	-113.36	47.83	-1540450	2845427	14.895
-116.25	46.99	14.5	0	-113.26	47.71	-1535803	2830833	14.895
-116.28	46.77	14.5	0	-113.29	47.49	-1543202	2807516	14.895
-116.71	46.49	14.5	0	-113.73	47.21	-1582115	2784285	14.895
-116.26	46.42	14.5	0	-111.6	46.33	-1549908	2769290	14.895
-116.28	45.79	14.5	0	-111.61	45.7	-1566219	2701297	14.895
-103.02	46.66	13.1	0	-100.1	47.18	-538671	2649951	12.725000000000001
-119.47	44.46	15.4	0	-114.43	44.34	-1844072	2614470	14.895
-118.76	44.48	13.8	0	-114.06	44.37	-1788845	2603062	12.725000000000001
-117.42	47.66	10.65	0	-115.06	48.22	-1606521	2922467	9.438
-151.17	59.75	3.95	0	-150.05	59.96	-3236184	4995217	4.4665
-151.7	60.03	3.95	0	-150.56	60.25	-3248053	5036832	4.4665
-150.6	62.42	8.45	0	-147.87	62.8	-3062798	5197920	9.438
-151.4	61.04	8.45	0	-148.93	61.46	-3177079	5110792	9.438
-151.29	59.71	8.45	0	-149.03	60.13	-3244629	4995936	9.438
-151.75	59.39	8.45	0	-149.55	59.83	-3286384	4984747	9.438
-151.25	61.24	13.8	0	-146.84	61.99	-3158595	5122333	12.725000000000001
-150.6	62.42	13.8	0	-145.8	63.11	-3062798	5197920	12.725000000000001
-151.77	61.3	13.8	0	-147.35	62.08	-3181565	5144625	12.725000000000001
-149.85	61.63	13.8	0	-145.3	62.27	-3066805	5108765	12.725000000000001
-151.53	62.33	13.8	0	-146.77	63.09	-3113774	5220824	12.725000000000001
-151.74	59.41	13.8	0	-147.87	60.21	-3284742	4986089	12.725000000000001
-152.61	59.79	17.3	0	-147.79	60.85	-3308305	5048158	18.205000000000002
-153.29	58.84	19.5	0	-148.0	60.19	-3397773	4992588	18.205000000000002
-149.58	61.32	19.5	0	-143.19	62.24	-3069422	5074254	18.205000000000002
-152.45	60.29	19.5	0	-146.55	61.52	-3271957	5084240	18.205000000000002
-152.32	60.53	19.5	0	-146.31	61.74	-3251919	5099679	18.205000000000002
-152.43	60.29	19.5	0	-146.53	61.52	-3270937	5083551	18.205000000000002
-152.34	60.37	19.5	0	-146.4	61.59	-3261872	5087099	18.205000000000002
-149.15	61.67	19.5	0	-142.59	62.54	-3029132	5089639	18.205000000000002
-149.09	61.7	19.5	0	-142.52	62.56	-3024514	5090226	18.205000000000002
-143.17	61.8	13.8	0	-138.55	61.97	-2712747	4919953	12.725000000000001
-149.2	62.7	3.95	0	-147.81	62.87	-2978365	5176305	4.4665
-164.1	65.3	8.45	0	-162.93	65.77	-3522581	5884900	9.438
-165.4	64.5	2.7	1	-164.97	64.67	-3627149	5878094	3.09
-70.83	41.35	3.95	0	-69.91	41.4	2065558	2313323	4.4665
-70.83	41.35	14.9	0	-67.43	41.45	2065558	2313323	14.895
-70.82	41.32	14.9	0	-67.42	41.42	2067239	2310299	14.895
-120.01	46.94	15.5	0	-114.69	46.81	-1816748	2891779	14.895
-85.79	40.45	4.5	1	-84.9	40.56	856930	1983469	4.4665
-116.9	33.9	3.95	1	-115.64	33.7	-1903429	1413953	4.4665
-121.22	44.75	4.15	0	-119.88	44.7	-1969973	2680835	4.4665
-82.27	27.47	4.25	0	-81.44	27.56	1359034	587823	4.4665
-82.27	27.47	2.75	0	-81.65	27.54	1359034	587823	3.09
-83.05	78.37	3.05	0	-81.7	78.44	594260	5595003	3.09
-81.62	77.86	3.05	0	-80.3	77.93	663679	5576401	3.09
-83.93	79.7	3.05	0	-82.48	79.77	545354	5658203	3.09
-82.2	78.47	3.05	1	-80.84	78.54	632212	5605875	3.09
-118.47	37.78	4.45	0	-117.09	37.74	-1942086	1868840	4.4665
-122.63	38.35	3.1	0	-121.6	38.31	-2275268	2022942	3.09
-121.51	41.96	2.72	0	-120.49	41.92	-2074686	2386579	3.09
-162.99	65.98	5.7	0	-162.11	66.34	-3434789	5891426	6.2895
-99.05	79.88	3.0	0	-97.72	79.99	-137872	5634528	3.09
-115.83200000000001	43.68	11.0	1	-112.12	43.6	-1580799	2464169	9.438
-123.29700000000001	44.31399999999999	9.425	0	-120.25	44.2	-2141661	2679039	9.438
-75.7	38.7	3.1	0	-75.03	38.75	1735691	1927373	3.09
-76.3	36.7	3.1	0	-75.64	36.75	1731269	1697232	3.09
-76.7	36.3	3.1	0	-76.04	36.35	1705644	1646131	3.09
-76.5	37.2	3.95	0	-75.62	37.27	1702527	1748454	4.4665
-76.6	36.95	3.95	0	-75.72	37.02	1699597	1719236	4.4665
-75.3	38.67	8.45	0	-73.51	38.79	1770081	1931466	9.438
-76.8	38.7	8.45	0	-75.01	38.83	1642959	1907819	9.438
-75.4	38.8	8.45	0	-73.6	38.92	1758530	1943838	9.438
-75.5	39.2	8.45	0	-73.7	39.32	1740531	1985786	9.438
-76.5	38.0	10.5	0	-74.27	38.15	1684258	1836231	9.438
-75.5	39.2	13.8	0	-72.39	39.37	1740531	1985786	12.725000000000001
-76.0	39.8	10.5	0	-73.74	39.95	1684669	2042496	9.438
-99.83	43.08	11.95	1	-97.18	43.53	-310130	2237889	12.725000000000001
-101.75	43.08	11.95	1	-99.11	43.55	-465442	2245724	12.725000000000001
-101.66	43.17	11.95	1	-99.02	43.64	-457567	2255321	12.725000000000001
-101.75	43.12	11.95	1	-99.11	43.59	-465172	2250183	12.725000000000001
-102.0	43.12	11.95	1	-99.37	43.59	-485371	2251434	12.725000000000001
-102.0	43.08	11.95	1	-99.37	43.55	-485653	2246975	12.725000000000001
-99.8	43.08	11.95	1	-97.15	43.53	-307702	2237791	12.725000000000001
-99.8	43.06	11.95	1	-97.15	43.51	-307792	2235559	12.725000000000001
-101.7	43.12	11.95	1	-99.06	43.59	-461132	2249940	12.725000000000001
-101.8	43.12	11.95	1	-99.16	43.59	-469212	2250429	12.725000000000001
-100.0	42.8	11.95	1	-97.36	43.25	-325204	2207202	12.725000000000001
-99.8	42.8	11.95	1	-97.16	43.25	-308953	2206535	12.725000000000001
-99.75	42.73	11.95	1	-97.11	43.18	-305198	2198557	12.725000000000001
-100.05	42.8	11.95	1	-97.41	43.25	-329267	2207374	12.725000000000001
-100.9	42.98	11.95	1	-98.26	43.44	-397280	2230712	12.725000000000001
-101.33	43.2	11.95	1	-98.69	43.67	-430730	2257123	12.725000000000001
-100.5	42.85	11.95	1	-97.86	43.31	-365562	2214601	12.725000000000001
-101.75	42.81	11.95	1	-99.12	43.28	-467266	2215615	12.725000000000001
-101.45	42.87	11.95	1	-98.82	43.34	-442530	2220871	12.725000000000001
-99.75	42.67	11.95	1	-97.11	43.12	-305463	2191856	12.725000000000001
-99.75	42.72	11.95	1	-97.11	43.17	-305242	2197440	12.725000000000001
-100.83	42.68	11.95	1	-98.2	43.14	-393312	2196943	12.725000000000001
-100.9	42.81	11.95	1	-98.26	43.27	-398259	2211744	12.725000000000001
-100.83	42.67	11.95	1	-98.2	43.13	-393369	2195827	12.725000000000001
-100.85	42.67	11.95	1	-98.22	43.13	-394996	2195910	12.725000000000001
-101.09	42.81	11.95	1	-98.46	43.27	-413687	2212556	12.725000000000001
-99.4	43.25	11.95	1	-96.74	43.7	-274648	2255538	12.725000000000001
-100.55	42.9	11.95	1	-97.91	43.36	-369353	2220374	12.725000000000001
-99.78	42.65	11.95	1	-97.14	43.1	-307994	2189720	12.725000000000001
-99.73	42.55	11.95	1	-97.09	43.0	-304361	2178390	12.725000000000001
-148.5	64.0	19.5	0	-144.77	65.36	-2878051	5260304	18.205000000000002
-149.02	63.86	17.3	0	-145.9	65.0	-2910568	5264882	18.205000000000002
-148.5	64.0	13.8	0	-145.92	64.91	-2878051	5260304	12.725000000000001
-148.5	64.0	8.1	0	-147.04	64.49	-2878051	5260304	9.438
-118.26100000000001	33.78	13.3	1	-114.18	33.13	-2028287	1429043	12.725000000000001
-117.52	44.97	13.8	0	-112.83	44.87	-1680858	2633512	12.725000000000001
-100.93	39.4	6.5	1	-99.64	39.64	-420489	1830650	6.2895
-131.79399999999998	54.023	5.95	0	-130.59	54.36	-2389320	3888137	6.2895
-91.656	31.846999999999998	8.68	0	-89.77	32.13	409157	984090	9.438
-113.244777777778	44.7956666666667	20.9786223283083	1	-108.17	45.55	-1354573	2546217	21.735
-113.27172222222201	44.809361111111095	20.7272895620407	1	-108.2	45.57	-1356391	2548100	21.735
-113.25816666666701	44.8104166666667	19.3565573340517	1	-108.71	45.5	-1355317	2548023	18.205000000000002
-113.259388888889	44.8109166666667	18.927170944499	1	-108.71	45.51	-1355401	2548095	18.205000000000002
-113.245583333333	44.8028611111111	18.454473521679102	1	-108.93	45.46	-1354491	2547016	18.205000000000002
-113.250944444444	44.8102222222222	17.7560482463436	1	-108.94	45.47	-1354760	2547898	18.205000000000002
-113.24019444444401	44.805027777777795	17.636836690520898	1	-108.93	45.46	-1354029	2547176	18.205000000000002
-113.23116666666701	44.808111111111096	16.8267306054488	1	-109.16	45.43	-1353266	2547385	18.205000000000002
-113.23005555555599	44.807777777777794	16.0576814988329	1	-109.4	45.39	-1353186	2547333	18.205000000000002
-113.23005555555599	44.807777777777794	15.679967278257301	1	-109.4	45.39	-1353186	2547333	14.895
-111.463555555556	45.7929444444444	10.0	1	-109.29	46.25	-1198003	2631556	9.438
-112.44558333333299	45.4358055555556	5.43	1	-111.37	45.68	-1280178	2605236	6.2895
-112.445138888889	45.4358333333333	5.43	1	-111.37	45.68	-1280143	2605233	6.2895
-112.25508333333299	45.04075	9.55	1	-110.1	45.51	-1272973	2559390	9.438
-117.46984199999999	34.31478	16.6	1	-112.18	33.5	-1944067	1470703	18.205000000000002
-117.46984199999999	34.31478	15.4	1	-112.79	33.59	-1944067	1470703	14.895
-117.467096	34.297939	16.2	1	-112.49	33.53	-1944244	1468811	18.205000000000002
-117.467096	34.297939	15.5	1	-112.49	33.53	-1944244	1468811	14.895
-117.467096	34.297939	13.6	1	-113.1	33.62	-1944244	1468811	12.725000000000001
-117.491704	34.321863	15.3	1	-112.82	33.6	-1945835	1471922	14.895
-117.103	35.061	13.07	0	-114.52	35.73	-1893021	1544675	12.725000000000001
-117.07525700000001	35.04878	13.697000000000001	1	-114.3	35.77	-1890874	1542789	12.725000000000001
-117.024	35.022	14.8	0	-114.06	35.8	-1887008	1538847	14.895
-117.04799999999999	35.025	15.89	0	-113.89	35.86	-1889053	1539652	14.895
