index	Latitude	Longitude	Age.Max	Age.Min	mean_age	age_bin	paleolat	paleolon	Openness	x_albers	y_albers	x_paleo_albers	y_paleo_albers
284	40.06	-123.73	5.3	2.6	3.95	4	40.01	-122.36	Closed	-2311494	2233352	-2201852	2195442
285	41.49	-120.45	3.6	2.6	3.1	3	41.46	-119.43	Closed	-2003814	2313047	-1922777	2288722
286	36.05	-120.28	5.3	2.6	3.95	4	36.01	-118.89	Closed	-2144221	1719750	-2024993	1684916
287	34.35	-119.28	5.3	2.6	3.95	4	34.14	-118.02	Closed	-2103859	1513085	-1997487	1463082
290	54.02	-132.02	11.6	2.6	7.1	7	54.41	-130.62	Closed	-2403797	3893539	-2299820	3897616
298	47.043	-123.778	11.6	5.3	8.45	8	46.93	-121.11	Closed	-2090982	2980238	-1898368	2912210
304	31.088	-93.059	13	11.5	12.25	12	31.46	-90.58	Closed	279676	894581	512862	946274
305	53.085	-122.599	11.6	5.3	8.45	8	53.51	-120.87	Closed	-1822321	3589041	-1694885	3600976
306	44.715	-118.171	11.3	5.3	8.3	8	44.64	-115.48	Closed	-1737356	2617581	-1531355	2563145
307	44.715	-118.171	11.6	5.3	8.45	8	44.64	-115.48	Closed	-1737356	2617581	-1531355	2563145
308	69.33	-135.75	3.6	2.6	3.1	3	69.51	-135.1	Closed	-2034399	5352163	-1997059	5352080
309	69.33	-135.75	5.3	2.6	3.95	4	69.56	-134.88	Closed	-2034399	5352163	-1984809	5351273
310	69.33	-135.75	23	11.6	17.3	17	70.4	-131.82	Open	-2034399	5352163	-1811124	5353622
311	40.93	-104.8	23.5	19.2	21.35	21	41.79	-100.31	Closed	-733983	2025160	-355511	2095481
313	40.78	-104.03	18.7	18.7	18.7	19	41.56	-99.99	Open	-671337	2002734	-330212	2068614
314	40.99	-103.92	18.7	17.2	17.95	18	41.73	-100.08	Open	-660205	2025398	-336840	2087937
315	40.89	-103.94	14.4	14.4	14.4	14	41.47	-100.94	Open	-662802	2014378	-409294	2062248
316	40.89	-103.94	14.1	14.1	14.1	14	41.47	-100.94	Open	-662802	2014378	-409294	2062248
317	40.89	-103.94	14.4	14.1	14.25	14	41.47	-100.94	Closed	-662802	2014378	-409294	2062248
318	40.78	-104.03	13.3	13.3	13.3	13	41.32	-101.25	Open	-671337	2002734	-435880	2046861
319	40.74	-103.89	11.5	11.5	11.5	12	41.23	-101.31	Closed	-660031	1997290	-441419	2037078
320	46.71	-110.98	27.5	27.5	27.5	28	47.82	-104.47	Closed	-1144890	2726006	-638249	2786767
321	46.71	-113.06	27.5	27.5	27.5	28	47.89	-106.6	Open	-1302254	2752787	-797295	2810541
322	46.01	-111.92	27.5	20.8	24.15	24	47.08	-106.55	Closed	-1229020	2661155	-803463	2721186
323	45.99	-111.85	19	19	19	19	46.9	-107.74	Closed	-1224035	2658062	-896108	2712044
324	44.78	-113.26	23	19	21	21	45.54	-108.19	Closed	-1356071	2544718	-949568	2566756
325	44.79	-113.25	17.2	17.2	17.2	17	45.41	-109.18	Open	-1355093	2545671	-1028207	2562737
326	44.79	-113.25	16.7	16.7	16.7	17	45.41	-109.18	Open	-1355093	2545671	-1028207	2562737
327	44.79	-113.25	16.3	16.3	16.3	16	45.37	-109.42	Open	-1355093	2545671	-1047433	2560954
328	44.8	-113.25	15.2	15.2	15.2	15	45.35	-109.65	Open	-1354892	2546766	-1065580	2561310
329	44.8	-113.25	15.1	15.1	15.1	15	45.35	-109.65	Open	-1354892	2546766	-1065580	2561310
330	44.93	-112.55	15.8	15.8	15.8	16	45.71	-109.13	Open	-1297972	2551238	-1019740	2595217
331	45.75	-111.43	15.3	13	14.15	14	46.41	-108.4	Closed	-1196197	2626426	-953269	2664621
