index	Latitude	Longitude	Age Max	Age Min	ID	Openness	mean_age
187	33.85	-120.75	11.6	5.3	1917	Open	8.45
188	33.85	-120.75	11.6	5.3	1918	Open	8.45
189	33.85	-120.75	11.6	5.3	1919	Open	8.45
190	33.85	-120.75	11.6	5.3	1920	Open	8.45
191	33.85	-120.75	11.6	5.3	1921	Open	8.45
192	33.85	-120.75	11.6	5.3	1922	Open	8.45
193	33.85	-120.75	11.6	5.3	1923	Open	8.45
194	33.85	-120.75	11.6	5.3	1924	Open	8.45
195	33.85	-120.75	11.6	5.3	1925	Open	8.45
196	33.85	-120.75	11.6	5.3	1926	Open	8.45
197	33.85	-120.75	11.6	5.3	1927	Open	8.45
198	33.85	-120.75	11.6	5.3	1928	Open	8.45
199	33.85	-120.75	11.6	5.3	1929	Open	8.45
200	33.85	-120.75	11.6	5.3	1930	Open	8.45
201	33.85	-120.75	11.6	5.3	1931	Open	8.45
202	33.85	-120.75	11.6	5.3	1932	Open	8.45
203	33.85	-120.75	11.6	5.3	1933	Open	8.45
204	33.85	-120.75	11.6	5.3	1934	Open	8.45
205	33.85	-120.75	11.6	5.3	1935	Open	8.45
206	33.85	-120.75	11.6	5.3	1936	Open	8.45
207	33.85	-120.75	11.6	5.3	1937	Open	8.45
208	33.85	-120.75	11.6	5.3	1938	Open	8.45
209	33.85	-120.75	11.6	5.3	1939	Open	8.45
210	33.85	-120.75	11.6	5.3	1940	Open	8.45
211	33.85	-120.75	11.6	5.3	1941	Open	8.45
212	33.85	-120.75	11.6	5.3	1942	Open	8.45
213	33.85	-120.75	11.6	5.3	1943	Open	8.45
214	33.85	-120.75	11.6	5.3	1944	Open	8.45
215	33.85	-120.75	11.6	5.3	1945	Open	8.45
216	33.85	-120.75	11.6	5.3	1946	Open	8.45
217	33.85	-120.75	11.6	5.3	1947	Open	8.45
218	33.85	-120.75	11.6	5.3	1948	Open	8.45
219	33.85	-120.75	16.0	11.6	1949	Open	13.8
220	33.85	-120.75	16.0	11.6	1950	Open	13.8
221	33.85	-120.75	16.0	11.6	1951	Open	13.8
222	33.85	-120.75	16.0	11.6	1952	Open	13.8
223	33.85	-120.75	16.0	11.6	1953	Open	13.8
224	33.85	-120.75	16.0	11.6	1954	Open	13.8
225	33.85	-120.75	16.0	11.6	1955	Open	13.8
226	33.85	-120.75	16.0	11.6	1956	Open	13.8
227	33.85	-120.75	16.0	11.6	1957	Open	13.8
228	33.85	-120.75	16.0	11.6	1958	Open	13.8
229	33.85	-120.75	16.0	11.6	1959	Open	13.8
230	33.85	-120.75	16.0	11.6	1960	Open	13.8
231	33.85	-120.75	16.0	11.6	1961	Open	13.8
232	33.85	-120.75	16.0	11.6	1962	Open	13.8
233	33.85	-120.75	16.0	11.6	1963	Open	13.8
234	33.85	-120.75	16.0	11.6	1964	Open	13.8
235	33.85	-120.75	16.0	11.6	1965	Open	13.8
236	33.85	-120.75	16.0	11.6	1966	Open	13.8
237	33.85	-120.75	16.0	11.6	1967	Open	13.8
238	33.85	-120.75	16.0	11.6	1968	Open	13.8
239	33.85	-120.75	16.0	11.6	1969	Open	13.8
240	33.85	-120.75	16.0	11.6	1970	Open	13.8
241	33.85	-120.75	16.0	11.6	1971	Open	13.8
242	33.85	-120.75	16.0	11.6	1972	Open	13.8
243	33.85	-120.75	16.0	11.6	1973	Open	13.8
244	33.85	-120.75	16.0	11.6	1974	Open	13.8
245	33.85	-120.75	16.0	11.6	1975	Open	13.8
246	33.85	-120.75	16.0	11.6	1976	Open	13.8
247	33.85	-120.75	16.0	11.6	1977	Open	13.8
248	33.85	-120.75	16.0	11.6	1978	Open	13.8
249	33.85	-120.75	16.0	11.6	1979	Open	13.8
250	33.85	-120.75	16.0	11.6	1980	Open	13.8
251	33.85	-120.75	16.0	11.6	1981	Open	13.8
252	29.285	-82.339	13.6	4.9	2056	Open	9.25
253	47.925	-119.071	11.6	5.3	2122	Closed	8.45
254	42.808	-101.032	7.2	5.3	2183	Open	6.25
255	46.506	-120.541	11.6	3.6	2184	Closed	7.6
256	46.657	-120.522	11.6	3.6	2185	Closed	7.6
257	46.702	-120.547	11.6	3.6	2186	Closed	7.6
258	46.702	-120.547	11.6	3.6	2187	Closed	7.6
259	46.702	-120.547	11.6	3.6	2188	Closed	7.6
260	46.818	-120.645	11.6	5.3	2189	Closed	8.45
261	46.901	-120.467	11.6	5.3	2190	Closed	8.45
262	42.101	-114.021	16.0	11.6	2413	Closed	13.8
263	39.422	-119.296	14.8	13.3	2414	Closed	14.05
264	36.562	-121.886	16.0	5.3	2415	Closed	10.65
265	63.85	-148.96	11.6	6.7	2483	Closed	9.15
266	38.5	-120.01	7.0	7.0	2549	Closed	7.0
267	37.61	-120.57	4.5	4.5	2550	Open/Closed	4.5
268	35.97	-120.02	5.0	5.0	2551	Open	5.0
269	79.934	-99.242	5.3	3.6	2576	Open	4.45
270	71.584	-131.217	16.0	11.6	2577	Closed	13.8
271	75.105	-87.101	23.0	16.0	2578	Closed	19.5
272	38.58	-122.67	5.3	2.6	2580	Closed	3.95
273	38.58	-122.67	5.3	2.6	2581	Closed	3.95
274	38.4	-122.64	5.3	2.6	2582	Closed	3.95
275	38.4	-122.67	5.3	2.6	2583	Closed	3.95
276	38.51	-122.72	5.3	2.6	2584	Closed	3.95
277	38.193	-122.53	5.3	2.6	2585	Closed	3.95
278	37.85	-122.11	5.3	2.6	2586	Closed	3.95
279	37.88	-122.14	5.3	2.6	2587	Closed	3.95
280	37.69	-122.5	5.3	2.6	2588	Closed	3.95
281	37.28	-122.04	5.3	2.6	2589	Closed	3.95
282	40.12	-123.8	5.3	2.6	2590	Closed	3.95
283	40.12	-123.81	5.3	2.6	2591	Closed	3.95
284	40.06	-123.73	5.3	2.6	2592	Closed	3.95
285	41.49	-120.45	3.6	2.6	2593	Closed	3.1
286	36.05	-120.28	5.3	2.6	2594	Closed	3.95
287	34.35	-119.28	5.3	2.6	2595	Closed	3.95
288	54.02	-132.02	11.6	2.6	2609	Closed	7.1
289	54.02	-132.02	11.6	2.6	2610	Closed	7.1
290	54.02	-132.02	11.6	2.6	2611	Closed	7.1
291	54.02	-132.02	11.6	2.6	2612	Closed	7.1
292	54.02	-132.02	11.6	2.6	2613	Closed	7.1
293	47.043	-123.778	11.6	5.3	2694	Closed	8.45
294	47.043	-123.778	11.6	5.3	2695	Closed	8.45
295	47.043	-123.778	11.6	5.3	2696	Closed	8.45
296	47.043	-123.778	11.6	5.3	2697	Closed	8.45
297	47.043	-123.778	11.6	5.3	2698	Closed	8.45
298	47.043	-123.778	11.6	5.3	2699	Closed	8.45
299	47.043	-123.778	11.6	5.3	2700	Closed	8.45
300	47.043	-123.778	11.6	5.3	2701	Closed	8.45
301	47.043	-123.778	11.6	5.3	2702	Closed	8.45
302	47.043	-123.778	11.6	5.3	2703	Closed	8.45
303	47.043	-123.778	11.6	5.3	2704	Closed	8.45
