index	lon	lat	age	label	paleolon	paleolat	rounded_ages
491	-100.2	39.84	4.45	1	-99.34	40.0	4.4665
492	-98.4	41.7	4.45	1	-97.52	41.85	4.4665
493	-100.56	38.95	4.45	1	-99.7	39.11	4.4665
494	-103.3	42.45	19.6	1	-98.98	43.26	18.205000000000002
495	-103.11	41.83	21.6	1	-98.31	42.66	21.735
496	-103.3	42.1	18.1	1	-99.42	42.83	18.205000000000002
497	-102.69	42.68	16.95	1	-99.0	43.36	18.205000000000002
498	-100.56	42.87	4.45	1	-99.68	43.03	4.4665
499	-114.6	42.1	7.4	1	-112.89	42.34	9.438
500	-114.68	42.08	7.7	1	-112.73	42.35	9.438
501	-115.22	42.08	8.0	1	-113.27	42.35	9.438
502	-114.67	42.0	8.6	1	-112.47	42.31	9.438
503	-113.93	42.08	9.3	1	-111.73	42.39	9.438
505	-114.3	42.4	10.4	1	-111.86	42.74	9.438
506	-114.3	42.42	10.5	1	-111.86	42.76	9.438
507	-114.28	42.33	10.55	1	-111.6	42.71	9.438
508	-114.01	42.3	10.6	1	-111.33	42.68	9.438
509	-114.27	42.33	10.7	1	-111.59	42.71	9.438
510	-114.02	42.3	10.8	1	-111.34	42.68	9.438
511	-114.07	42.15	11.6	1	-111.15	42.57	9.438
512	-115.67	41.96	12.0	1	-111.6	41.88	12.725000000000001
524	-112.55	41.2	3.3	1	-111.81	41.31	3.09
543	-112.55	41.2	5.1	1	-111.32	41.38	4.4665
550	-112.55	41.2	5.8	1	-111.07	41.42	6.2895
555	-112.55	41.2	7.5	1	-110.58	41.49	9.438
573	-112.55	41.2	12.0	1	-109.6	41.63	12.725000000000001
630	-111.0	44.0	9.2	1	-109.06	44.42	9.438
647	-73.05	43.83	19.5	0	-68.44	43.96	18.205000000000002
649	-100.0	42.5	13.5	1	-96.93	43.03	12.725000000000001
650	-100.5	36.8	11.0	1	-98.17	37.22	9.438
651	-101.0	35.0	11.0	1	-98.7	35.42	9.438
652	-101.2	38.8	5.5	1	-99.92	39.04	6.2895
653	-117.68	39.0	15.6	0	-112.21	38.89	14.895
654	-114.09	42.25	15.65	0	-110.21	42.82	14.895
655	-117.63	39.39	15.5	0	-112.16	39.28	14.895
668	-89.67	75.37	23.1	0	-79.58	75.77	25.425
669	-118.46	42.41	22.0	0	-110.94	42.24	21.735
670	-118.11	36.19	16.8	1	-112.25	36.07	18.205000000000002
672	-151.7	59.4	16.3	0	-147.28	60.33	18.205000000000002
700	-74.33	40.03	11.0	0	-71.85	40.17	9.438
764	-77.4	37.5	5.4	0	-76.29	37.59	6.2895
767	-76.8	38.7	6.25	0	-75.46	38.8	6.2895
770	-75.2	38.5	5.4	0	-74.08	38.58	6.2895
772	-75.5	38.6	5.4	0	-74.38	38.68	6.2895
773	-76.4	36.75	3.5	0	-75.52	36.82	3.09
776	-75.1	38.6	3.1	0	-74.43	38.65	3.09
779	-76.82	38.72	8.0	0	-75.03	38.85	9.438
780	-119.6	39.8	15.6	0	-114.14	39.67	14.895
782	-117.5	38.0	15.75	0	-112.01	37.89	14.895
784	-119.33	39.6	14.75	0	-114.2	39.48	14.895
785	-119.8	41.8	16.0	0	-114.37	41.67	18.205000000000002
786	-119.29	41.4	16.0	0	-113.86	41.28	18.205000000000002
787	-116.26	47.02	17.3	0	-112.63	47.9	18.205000000000002
788	-116.26	46.94	16.0	0	-112.84	47.76	18.205000000000002
789	-115.57	49.68	14.5	0	-112.51	50.39	14.895
790	-118.95	47.92	14.5	0	-115.97	48.66	14.895
792	-117.31	47.69	14.5	0	-114.32	48.42	14.895
795	-116.35	47.11	14.5	0	-113.36	47.83	14.895
797	-116.25	46.99	14.5	0	-113.26	47.71	14.895
798	-116.28	46.77	14.5	0	-113.29	47.49	14.895
800	-116.71	46.49	14.5	0	-113.73	47.21	14.895
801	-116.26	46.42	14.5	0	-111.6	46.33	14.895
802	-116.28	45.79	14.5	0	-111.61	45.7	14.895
805	-103.02	46.66	13.1	0	-100.1	47.18	12.725000000000001
810	-119.47	44.46	15.4	0	-114.43	44.34	14.895
813	-118.76	44.48	13.8	0	-114.06	44.37	12.725000000000001
817	-117.42	47.66	10.65	0	-115.06	48.22	9.438
820	-151.17	59.75	3.95	0	-150.05	59.96	4.4665
821	-151.7	60.03	3.95	0	-150.56	60.25	4.4665
827	-150.6	62.42	8.45	0	-147.87	62.8	9.438
828	-151.4	61.04	8.45	0	-148.93	61.46	9.438
831	-151.29	59.71	8.45	0	-149.03	60.13	9.438
837	-151.75	59.39	8.45	0	-149.55	59.83	9.438
839	-151.25	61.24	13.8	0	-146.84	61.99	12.725000000000001
842	-150.6	62.42	13.8	0	-145.8	63.11	12.725000000000001
845	-151.77	61.3	13.8	0	-147.35	62.08	12.725000000000001
847	-149.85	61.63	13.8	0	-145.3	62.27	12.725000000000001
848	-151.53	62.33	13.8	0	-146.77	63.09	12.725000000000001
851	-151.74	59.41	13.8	0	-147.87	60.21	12.725000000000001
853	-152.61	59.79	17.3	0	-147.79	60.85	18.205000000000002
854	-153.29	58.84	19.5	0	-148.0	60.19	18.205000000000002
856	-149.58	61.32	19.5	0	-143.19	62.24	18.205000000000002
857	-152.45	60.29	19.5	0	-146.55	61.52	18.205000000000002
859	-152.32	60.53	19.5	0	-146.31	61.74	18.205000000000002
861	-152.43	60.29	19.5	0	-146.53	61.52	18.205000000000002
862	-152.34	60.37	19.5	0	-146.4	61.59	18.205000000000002
866	-149.15	61.67	19.5	0	-142.59	62.54	18.205000000000002
867	-149.09	61.7	19.5	0	-142.52	62.56	18.205000000000002
868	-143.17	61.8	13.8	0	-138.55	61.97	12.725000000000001
869	-149.2	62.7	3.95	0	-147.81	62.87	4.4665
870	-164.1	65.3	8.45	0	-162.93	65.77	9.438
871	-165.4	64.5	2.7	1	-164.97	64.67	3.09
873	-70.83	41.35	3.95	0	-69.91	41.4	4.4665
875	-70.83	41.35	14.9	0	-67.43	41.45	14.895
876	-70.82	41.32	14.9	0	-67.42	41.42	14.895
880	-120.01	46.94	15.5	0	-114.69	46.81	14.895
881	-85.79	40.45	4.5	1	-84.9	40.56	4.4665
882	-116.9	33.9	3.95	1	-115.64	33.7	4.4665
883	-121.22	44.75	4.15	0	-119.88	44.7	4.4665
888	-82.27	27.47	4.25	0	-81.44	27.56	4.4665
897	-82.27	27.47	2.75	0	-81.65	27.54	3.09
914	-83.05	78.37	3.05	0	-81.7	78.44	3.09
919	-81.62	77.86	3.05	0	-80.3	77.93	3.09
923	-83.93	79.7	3.05	0	-82.48	79.77	3.09
924	-82.2	78.47	3.05	1	-80.84	78.54	3.09
925	-118.47	37.78	4.45	0	-117.09	37.74	4.4665
928	-122.63	38.35	3.1	0	-121.6	38.31	3.09
959	-121.51	41.96	2.95	0	-120.49	41.92	3.09
973	-162.99	65.98	5.7	0	-162.11	66.34	6.2895
974	-99.05	79.88	3.0	0	-97.72	79.99	3.09
989	-115.832	43.68	11.0	1	-112.12	43.6	9.438
993	-123.297	44.31399999999999	9.425	0	-120.25	44.2	9.438
997	-75.7	38.7	3.1	0	-75.03	38.75	3.09
998	-76.3	36.7	3.1	0	-75.64	36.75	3.09
999	-76.7	36.3	3.1	0	-76.04	36.35	3.09
1000	-76.5	37.2	3.95	0	-75.62	37.27	4.4665
1001	-76.6	36.95	3.95	0	-75.72	37.02	4.4665
1002	-75.3	38.67	8.45	0	-73.51	38.79	9.438
1003	-76.8	38.7	8.45	0	-75.01	38.83	9.438
1004	-75.4	38.8	8.45	0	-73.6	38.92	9.438
1005	-75.5	39.2	8.45	0	-73.7	39.32	9.438
1006	-76.5	38.0	10.5	0	-74.27	38.15	9.438
1008	-75.5	39.2	13.8	0	-72.39	39.37	12.725000000000001
1009	-76.0	39.8	10.5	0	-73.74	39.95	9.438
1011	-99.83	43.08	11.95	1	-97.18	43.53	12.725000000000001
1014	-101.75	43.08	11.95	1	-99.11	43.55	12.725000000000001
1017	-101.66	43.17	11.95	1	-99.02	43.64	12.725000000000001
1019	-101.75	43.12	11.95	1	-99.11	43.59	12.725000000000001
1023	-102.0	43.12	11.95	1	-99.37	43.59	12.725000000000001
1024	-102.0	43.08	11.95	1	-99.37	43.55	12.725000000000001
1027	-99.8	43.08	11.95	1	-97.15	43.53	12.725000000000001
1028	-99.8	43.06	11.95	1	-97.15	43.51	12.725000000000001
1032	-101.7	43.12	11.95	1	-99.06	43.59	12.725000000000001
1034	-101.8	43.12	11.95	1	-99.16	43.59	12.725000000000001
1036	-100.0	42.8	11.95	1	-97.36	43.25	12.725000000000001
1038	-99.8	42.8	11.95	1	-97.16	43.25	12.725000000000001
1039	-99.75	42.73	11.95	1	-97.11	43.18	12.725000000000001
1040	-100.05	42.8	11.95	1	-97.41	43.25	12.725000000000001
1042	-100.9	42.98	11.95	1	-98.26	43.44	12.725000000000001
1043	-101.33	43.2	11.95	1	-98.69	43.67	12.725000000000001
1044	-100.5	42.85	11.95	1	-97.86	43.31	12.725000000000001
1045	-101.75	42.81	11.95	1	-99.12	43.28	12.725000000000001
1047	-101.45	42.87	11.95	1	-98.82	43.34	12.725000000000001
1048	-99.75	42.67	11.95	1	-97.11	43.12	12.725000000000001
1049	-99.75	42.72	11.95	1	-97.11	43.17	12.725000000000001
1050	-100.83	42.68	11.95	1	-98.2	43.14	12.725000000000001
1053	-100.9	42.81	11.95	1	-98.26	43.27	12.725000000000001
1054	-100.83	42.67	11.95	1	-98.2	43.13	12.725000000000001
1056	-100.85	42.67	11.95	1	-98.22	43.13	12.725000000000001
1057	-101.09	42.81	11.95	1	-98.46	43.27	12.725000000000001
1058	-99.4	43.25	11.95	1	-96.74	43.7	12.725000000000001
1059	-100.55	42.9	11.95	1	-97.91	43.36	12.725000000000001
1060	-99.78	42.65	11.95	1	-97.14	43.1	12.725000000000001
1061	-99.73	42.55	11.95	1	-97.09	43.0	12.725000000000001
1062	-148.5	64.0	19.5	0	-144.77	65.36	18.205000000000002
1064	-149.02	63.86	17.3	0	-145.9	65.0	18.205000000000002
1067	-148.5	64.0	13.8	0	-145.92	64.91	12.725000000000001
1068	-148.5	64.0	8.1	0	-147.04	64.49	9.438
1072	-118.261	33.78	13.3	1	-114.18	33.13	12.725000000000001
1109	-117.52	44.97	13.8	0	-112.83	44.87	12.725000000000001
1115	-100.93	39.4	6.5	1	-99.64	39.64	6.2895
1116	-131.79399999999998	54.023	5.95	0	-130.59	54.36	6.2895
1118	-91.656	31.847	8.68	0	-89.77	32.13	9.438
1123	-113.244777777778	44.7956666666667	21.4994732469136	1	-108.17	45.55	21.735
1126	-113.27172222222201	44.809361111111095	20.7272895620407	1	-108.2	45.57	21.735
1127	-113.25816666666701	44.8104166666667	19.4403223895053	1	-108.71	45.5	18.205000000000002
1130	-113.259388888889	44.8109166666667	18.927170944499	1	-108.71	45.51	18.205000000000002
1132	-113.245583333333	44.8028611111111	18.720305654949602	1	-108.69	45.5	18.205000000000002
1134	-113.250944444444	44.8102222222222	17.7560482463436	1	-108.94	45.47	18.205000000000002
1138	-113.24019444444401	44.805027777777795	17.2408719745079	1	-109.17	45.43	18.205000000000002
1140	-113.23116666666701	44.808111111111096	16.6191963536326	1	-109.16	45.43	18.205000000000002
1144	-113.23005555555599	44.80777777777779	16.0576814988329	1	-109.4	45.39	18.205000000000002
1146	-113.23005555555599	44.80777777777779	15.679967278257301	1	-109.4	45.39	14.895
1148	-111.463555555556	45.7929444444444	10.0	1	-109.29	46.25	9.438
1186	-112.44558333333299	45.4358055555556	5.43	1	-111.37	45.68	6.2895
1204	-112.445138888889	45.4358333333333	5.43	1	-111.37	45.68	6.2895
1212	-112.25508333333299	45.04075	9.55	1	-110.1	45.51	9.438
1213	-117.469842	34.31478	17.0	1	-112.18	33.5	18.205000000000002
1218	-117.469842	34.31478	15.95	1	-112.49	33.55	14.895
1221	-117.467096	34.297939	16.2	1	-112.49	33.53	18.205000000000002
1223	-117.467096	34.297939	14.95	1	-112.79	33.57	14.895
1225	-117.467096	34.297939	13.6	1	-113.1	33.62	12.725000000000001
1230	-117.491704	34.321863	14.2	1	-113.12	33.64	14.895
1231	-117.103	35.061	13.04	1	-114.52	35.73	12.725000000000001
1235	-117.075257	35.04878	13.697	1	-114.3	35.77	12.725000000000001
1239	-117.024	35.022	14.8	0	-114.06	35.8	14.895
1240	-117.048	35.025	15.89	0	-113.89	35.86	14.895
