genus	age_bin	north_america	south_america	eurasia	africa	australia
Antrozous	5	5	0	0	0	0
Antrozus	10	1	0	0	0	0
Anzanycteris	5	2	0	0	0	0
Aonix	0	0	0	1	0	0
Aonyx	0	0	0	0	21	0
Aonyx	5	0	0	0	1	0
Apeomyoides	15	2	0	0	0	0
Apeomys	15	0	0	2	0	0
Apeomys	20	0	0	6	0	0
Apeomys	25	0	0	2	0	0
Aphelops	0	1	0	0	0	0
Aphelops	10	102	0	0	0	0
Aphelops	15	178	0	0	0	0
Aphelops	20	18	0	0	0	0
Aphelops	5	58	0	0	0	0
Aplodontia	0	4	0	0	0	0
Apocricetus	0	0	0	1	0	0
Apocricetus	10	0	0	3	0	0
Apocricetus	5	0	0	63	1	0
Apodecter	15	0	0	0	1	0
Apodecter	20	0	0	0	2	0
Apodemus	0	0	0	193	0	0
Apodemus	10	0	0	8	0	0
Apodemus	5	0	0	206	0	0
Aprixokogia	5	1	0	0	0	0
Aproteles	0	0	0	0	0	4
Aprotodon	10	0	0	1	0	0
Aprotodon	15	0	0	1	0	0
Aprotodon	20	0	0	4	0	0
Aprotodon	25	0	0	1	0	0
Aptenohyus	10	6	0	0	0	0
Aptenohyus	15	54	0	0	0	0
Aquascalientia	20	1	0	0	0	0
Arabosminthus	15	0	0	1	0	0
Arabosminthus	20	0	0	1	0	0
Aragoral	10	0	0	2	0	0
Aralomys	25	0	0	1	0	0
Aratomys	5	0	0	8	0	0
Arazamys	10	0	1	0	0	0
Arborimus	0	1	0	0	0	0
Archaeobelodon	10	0	0	1	0	0
Archaeobelodon	15	0	0	6	3	0
Archaeobelodon	20	0	0	2	0	0
Archaeocyon	25	5	0	0	0	0
Archaeocyon	30	50	0	0	0	0
Archaeodesmana	10	0	0	35	0	0
Archaeodesmana	15	0	0	1	0	0
Archaeodesmana	5	0	0	47	0	0
Archaeohippus	15	93	0	0	0	0
Archaeohippus	20	31	0	0	0	0
Archaeohippus	25	2	0	0	0	0
Archaeolagus	15	3	0	0	0	0
Archaeolagus	20	27	0	0	0	0
Archaeolagus	25	13	0	0	0	0
Archaeolagus	30	4	0	0	0	0
Archaeolemur	0	0	0	0	0	0
Archaeomys	30	0	0	1	0	0
Archaeoparadoxia	25	1	0	0	0	0
Archaeopotamus	10	0	0	2	2	0
Archaeopotamus	5	0	0	7	10	0
Archaeotherium	25	4	0	0	0	0
Archaeotherium	30	4	0	0	0	0
Archerops	15	0	0	0	0	1
Archidiskodon	0	0	0	2	4	0
Archidiskodon	5	0	0	2	1	0
Arctictis	0	0	0	1	0	0
Arctisorex	5	0	0	0	0	0
Arctodictis	15	0	4	0	0	0
Arctodictis	20	0	2	0	0	0
Arctodus	0	60	0	0	0	0
Arctodus	5	5	0	0	0	0
Arctomeles	5	2	0	1	0	0
Arctomyoides	15	2	0	0	0	0
Arctonasua	10	3	0	0	0	0
Arctonasua	15	9	0	0	0	0
Arctonasua	5	8	0	0	0	0
Arctonyx	0	0	0	29	0	0
Arctotherium	0	0	7	0	0	0
Ardipithecus	5	0	0	0	7	0
Ardynia	25	0	0	1	0	0
Argyrohippus	20	0	1	0	0	0
Argyrolagus	5	0	2	0	0	0
Arikareeomys	20	2	0	0	0	0
Arikareeomys	25	4	0	0	0	0
Arikarictis	25	3	0	0	0	0
Armantomys	10	0	0	3	0	0
Armantomys	15	0	0	105	0	0
Armantomys	20	0	0	65	0	0
Armantomys	5	0	0	3	0	0
Arretotherium	15	1	0	0	0	0
Arretotherium	20	19	0	0	0	0
Arretotherium	25	9	0	0	0	0
Arsinoitherium	30	0	0	1	1	0
Artibeus	0	1	1	0	0	0
Artigasia	5	0	1	0	0	0
Arvernoceros	0	0	0	2	0	0
Arvernoceros	5	0	0	6	0	0
Arvicanthis	0	0	0	0	4	0
Arvicanthis	5	0	0	4	0	0
Arvicola	0	0	0	72	0	0
Arvicola	5	0	0	2	0	0
Asellia	10	0	0	4	0	0
Asellia	15	0	0	2	0	0
Asellia	20	0	0	1	0	0
Asellia	5	0	0	1	0	0
Aselliscus	0	0	0	1	0	0
Asiacastor	15	0	0	4	0	0
Asiagenes	20	0	0	1	0	0
Asoletragus	0	0	0	0	0	0
Asoriculus	0	0	0	16	0	0
Asoriculus	5	0	0	41	0	0
Asterostemma	15	0	1	0	0	0
Asthenoscapter	10	0	0	3	0	0
Astrapotherium	15	0	5	0	0	0
Astrapotherium	20	0	1	0	0	0
Astrohippus	10	1	0	0	0	0
Astrohippus	5	39	0	0	0	0
Atelerix	10	0	0	14	0	0
Atelerix	15	0	0	8	0	0
Atelerix	20	0	0	1	0	0
Ateles	0	1	3	0	0	0
Atherurus	0	0	0	4	0	0
Atherurus	5	0	0	0	2	0
Atilax	0	0	0	0	11	0
Atilax	5	0	0	0	1	0
Atlantoxerus	10	0	0	16	1	0
Atlantoxerus	15	0	0	32	3	0
Atlantoxerus	20	0	0	16	0	0
Atlantoxerus	5	0	0	20	2	0
Atocetus	10	1	1	0	0	0
Atopomys	0	16	0	0	0	0
Aureliachoerus	15	0	0	41	0	0
Aureliachoerus	20	0	0	35	0	0
Auroracetus	5	1	0	0	0	0
Australocamelus	20	3	0	0	0	0
Australonyx	0	0	1	0	0	0
Australopithecus	0	0	0	0	71	0
Australopithecus	5	0	0	0	50	0
Australoprocta	20	0	2	0	0	0
Austrolagomys	15	0	0	0	1	0
Austroportax	10	0	0	3	0	0
Austrosqualodon	25	0	0	0	0	0
Avahi	0	0	0	0	0	0
Awashia	5	0	0	0	1	0
Axis	0	0	0	34	0	0
Axis	10	0	0	2	0	0
Axis	5	0	0	3	0	0
Aztlanolagus	0	3	0	0	0	0
Aztlanolagus	5	1	0	0	0	0
Babourofelis	5	1	0	0	0	0
Babyrousa	0	0	0	0	0	0
Bachitherium	20	0	0	0	0	0
Bahomys	0	0	0	2	0	0
Baiomys	0	7	0	0	0	0
Baiomys	5	21	0	0	0	0
Balantiomys	15	22	0	0	0	0
Balantiomys	20	3	0	0	0	0
Balantiopteryx	0	1	0	0	0	0
Ballusia	15	0	0	1	0	0
Ballusia	20	0	0	16	0	0
Bandicota	0	0	0	3	0	0
Bandicota	5	0	0	1	0	0
Baranogale	0	0	0	4	0	0
Baranogale	10	0	0	6	0	0
Baranogale	5	0	0	13	0	0
Baranomys	5	0	0	3	0	0
Barberapithecus	10	0	0	1	0	0
Barbourofelis	10	47	0	2	0	0
Barbourofelis	15	4	0	0	0	0
Barbourofelis	5	4	0	0	0	0
Barbouromeryx	15	9	0	0	0	0
Barbouromeryx	20	18	0	0	0	0
Barbouromeryx	25	1	0	0	0	0
Barguru	15	0	0	0	0	2
Baringa	0	0	0	0	0	4
Basirepomys	10	1	0	0	0	0
Basirepomys	15	2	0	0	0	0
Basirepomys	5	1	0	0	0	0
Bassaricyon	0	1	2	0	0	0
Bassaricyonoides	15	1	0	0	0	0
Bassaricyonoides	20	3	0	0	0	0
Bassariscus	0	12	0	0	0	0
Bassariscus	10	16	0	0	0	0
Bassariscus	15	38	0	0	0	0
Bassariscus	5	10	0	0	0	0
Bassicyonoides	15	1	0	0	0	0
Bathyergoides	15	0	0	0	2	0
Bathyergoides	20	0	0	0	6	0
Bathyergus	0	0	0	0	12	0
Bathyergus	5	0	0	0	1	0
Bathygale	20	0	0	3	0	0
Beatragus	0	0	0	0	14	0
Beckiasorex	5	2	0	0	0	0
Bedenomeryx	20	0	0	2	0	0
Begertherium	10	0	0	1	0	0
Belbus	5	0	0	2	1	0
Bellatona	10	0	0	12	0	0
Bellatona	15	0	0	2	0	0
Bellatona	25	0	0	1	0	0
Bellatonoides	10	0	0	1	0	0
Belomys	0	0	0	5	0	0
Belonodelphis	10	0	1	0	0	0
Benaratherium	25	0	0	1	0	0
Benicerus	15	0	0	0	1	0
Bensonomys	0	2	0	0	0	0
Bensonomys	5	9	0	0	0	0
Beremendia	0	0	0	23	0	0
Beremendia	5	0	0	38	0	0
Bettongia	0	0	0	0	0	226
Bettongia	5	0	0	0	0	1
Bibos	0	0	0	15	0	0
Birgerbohlinia	10	0	0	5	0	0
Bison	0	90	0	79	0	0
Bison	5	1	0	2	0	0
Bjornkurtenia	5	0	0	1	0	0
Blackia	10	0	0	31	0	0
Blackia	15	0	0	43	0	0
Blackia	20	0	0	11	0	0
Blackia	25	0	0	3	0	0
Blackia	5	0	0	7	0	0
Blancocamelus	0	3	0	0	0	0
Blancocamelus	5	5	0	0	0	0
Blancomys	5	0	0	24	0	0
Blarina	0	60	0	0	0	0
Blarina	5	3	0	0	0	0
Blarinella	0	0	0	2	0	0
Blarinella	10	0	0	3	0	0
Blarinella	5	0	0	4	0	0
Blarinoides	0	0	0	6	0	0
Blarinoides	5	0	0	39	0	0
Blastomeryx	10	9	0	0	0	0
Blastomeryx	15	83	0	0	0	0
Blastomeryx	20	7	0	0	0	0
Blickohyus	30	2	0	0	0	0
Blickomylus	15	9	0	0	0	0
Blickomylus	20	21	0	0	0	0
Bohlinia	10	0	0	22	0	0
Bohlinia	5	0	0	9	1	0
Bohlinosminthus	25	0	0	3	0	0
Bohlinotona	15	0	0	1	0	0
Bohra	0	0	0	0	0	3
Bohra	5	0	0	0	0	0
Bolivartherium	5	0	2	0	0	0
Boltimys	0	0	0	0	1	0
Boltimys	5	0	0	0	1	0
Bonisicyon	5	0	0	0	5	0
Boocercus	0	0	0	2	0	0
Boopsis	0	0	0	1	0	0
Bootherium	0	27	0	0	0	0
Boreostemma	10	0	1	0	0	0
Boreostemma	15	0	7	0	0	0
Boreostemma	5	0	1	0	0	0
Borhyaena	10	0	1	0	0	0
Borhyaena	15	0	15	0	0	0
Borhyaena	20	0	3	0	0	0
Borocyon	15	2	0	0	0	0
Borocyon	20	7	0	0	0	0
Borophagus	0	20	0	0	0	0
Borophagus	10	45	0	0	0	0
Borophagus	15	1	0	0	0	0
Borophagus	5	158	0	0	0	0
Borsodia	0	0	0	24	0	0
Borsodia	5	0	0	4	0	0
Borungaboodie	0	0	0	0	0	6
Bos	0	1	4	65	54	0
Bos	5	0	0	1	3	0
Bosdagius	5	0	0	1	0	0
Boselaphus	0	0	0	6	0	0
Bothriodon	25	0	0	1	0	0
Bothriogenys	30	0	0	1	0	0
Bouria	0	0	0	0	1	0
Bouromeryx	15	88	0	0	0	0
Bouromeryx	20	16	0	0	0	0
Brabovus	5	0	0	0	2	0
Brachipposideros	15	0	0	1	0	0
Brachyallodesmus	15	1	0	0	0	0
Brachycrus	15	134	0	0	0	0
Brachycrus	20	23	0	0	0	0
Brachydelphis	10	0	5	0	0	0
Brachydelphis	15	0	1	0	0	0
Brachydelphis	5	0	1	0	0	0
Brachydiceratherium	20	0	0	1	0	0
Brachyerix	0	2	0	0	0	0
Brachyerix	10	3	0	0	0	0
Brachyerix	15	41	0	0	0	0
Brachyerix	20	29	0	0	0	0
Brachyerix	25	1	0	0	0	0
Brachyerix	5	6	0	0	0	0
Brachyhyrax	15	0	0	0	2	0
Brachyhyrax	20	0	0	0	4	0
Brachylagus	0	7	0	0	0	0
Brachyodus	15	0	0	2	15	0
Brachyodus	20	0	0	44	19	0
Brachyopsigale	0	1	0	0	0	0
Brachyopsigale	5	6	0	0	0	0
Brachypotherium	10	0	0	21	1	0
Brachypotherium	15	0	0	75	13	0
Brachypotherium	20	0	0	7	8	0
Brachypotherium	5	0	0	0	6	0
Brachyprotoma	0	9	0	0	0	0
Brachypsalis	10	1	0	0	0	0
Brachypsalis	15	34	0	0	0	0
Brachypsalis	20	2	0	0	0	0
Brachyrhizomys	10	0	0	8	0	0
Brachyrhizomys	5	0	0	1	0	0
Brachyscirtetes	5	0	0	5	0	0
Brachytherium	10	0	1	0	0	0
Bramatherium	10	0	0	3	0	0
Bramatherium	5	0	0	1	0	0
Brandtocetus	10	0	0	2	0	0
Branisamyopsis	20	0	1	0	0	0
Bransatoglis	10	0	0	4	0	0
Bransatoglis	15	0	0	30	0	0
Bransatoglis	20	0	0	8	0	0
Bransatoglis	25	0	0	4	0	0
Bretzia	0	1	0	0	0	0
Bretzia	5	4	0	0	0	0
Brevilagus	0	0	0	1	0	0
Brevimalictis	15	2	0	0	0	0
Broiliana	15	0	0	1	0	0
Broiliana	20	0	0	8	0	0
Bubalus	0	0	0	53	0	0
Bubalus	5	0	0	0	0	0
Bucapra	0	0	0	1	0	0
Budorcas	0	0	0	2	0	0
Budorcas	5	0	0	0	2	0
Bugtimeryx	20	0	0	1	0	0
Bugtimeryx	25	0	0	1	0	0
Bugtirhinus	20	0	0	3	0	0
Bugtitherium	25	0	0	1	0	0
Buhakia	20	0	0	0	1	0
Builstynia	10	0	0	1	0	0
Buisnictis	0	3	0	0	0	0
Buisnictis	10	1	0	0	0	0
Buisnictis	5	23	0	0	0	0
Bujoromys	10	0	0	1	0	0
Bularchus	0	0	0	0	1	0
Bunolistriodon	10	0	0	1	0	0
Bunolistriodon	15	0	0	71	12	0
Bunolistriodon	20	0	0	15	10	0
Bunolistriodon	5	0	0	0	1	0
Burramys	0	0	0	0	0	1
Burramys	5	0	0	0	0	1
Butleria	15	0	0	0	8	0
Butleria	20	0	0	0	17	0
Byzantinia	10	0	0	30	0	0
Byzantinia	15	0	0	2	0	0
Byzantinia	5	0	0	5	0	0
Cadurcotherium	25	0	0	1	0	0
Caedocyon	25	1	0	0	0	0
Caedocyon	30	1	0	0	0	0
Caementodon	15	0	0	2	0	0
Caementodon	20	0	0	1	0	0
Cainochoerus	5	0	0	0	6	0
Cainotherium	15	0	0	42	0	0
Cainotherium	20	0	0	52	0	0
Cainotherium	25	0	0	2	0	0
Calchaquitherium	5	0	1	0	0	0
Calcochloris	0	0	0	0	1	0
Calippus	10	151	0	0	0	0
Calippus	15	99	0	0	0	0
Calippus	5	14	0	0	0	0
Callimico	0	0	1	0	0	0
Callithrix	0	0	1	0	0	0
Callosciurus	0	0	0	3	0	0
Calomys	0	12	1	0	0	0
Calomys	10	1	0	0	0	0
Calomys	5	37	0	0	0	0
Calomyscus	5	0	0	2	0	0
Caloprymnus	0	0	0	0	0	2
Caluromys	0	0	3	0	0	0
Caluromysiops	0	0	1	0	0	0
Camelops	0	49	0	0	0	0
Camelops	5	5	0	0	0	0
Camelus	0	0	0	6	1	0
Camelus	5	0	0	2	1	0
Campestrallomys	30	13	0	0	0	0
Camprestrallomys	30	1	0	0	0	0
Canimartes	0	1	0	0	0	0
Canis	0	279	10	168	96	16
Canis	5	83	0	22	21	0
Cannomys	0	0	0	1	0	0
Canthumeryx	10	0	0	0	2	0
Canthumeryx	15	0	0	1	11	0
Canthumeryx	20	0	0	0	7	0
Capacikala	25	2	0	0	0	0
Capacikala	30	28	0	0	0	0
Capatanka	25	2	0	1	0	0
Capatanka	30	3	0	0	0	0
Capra	0	0	0	33	13	0
Capra	5	0	0	0	1	0
Capreolus	0	0	0	60	0	0
Capreolus	5	0	0	5	0	0
Capricamelus	0	1	0	0	0	0
Capricamelus	5	1	0	0	0	0
Capricornis	0	0	0	30	0	0
Caprolagus	0	0	0	1	0	0
Capromeryx	0	24	0	0	0	0
Capromeryx	5	15	0	0	0	0
Caprotragoides	15	0	0	3	1	0
Caracal	0	0	0	2	38	0
Caracal	5	0	0	0	9	0
Carbomys	15	0	0	0	0	0
Cardiatherium	5	0	1	0	0	0
Cardiocranius	10	0	0	1	0	0
Cariacus	0	1	0	0	0	0
Carpocyon	10	55	0	0	0	0
Carpocyon	15	57	0	0	0	0
Carpocyon	5	5	0	0	0	0
Carposorex	20	0	0	1	0	0
Castillomys	0	0	0	28	0	0
