	0.0	0.0042	0.0082	0.0117	0.0126	0.773	1.8	2.58	3.6	5.333	7.246	11.63	13.82	15.97	20.44	23.03	27.82	33.9
Calippus	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0
Calomys	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0
Camelops	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Campestrallomys	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Canis	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
Cannabaceae	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
Capacikala	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Capatanka	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Caprifoliaceae	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
Capromeryx	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Carpocyon	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0
Castor	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Castoroides	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
Catagonus	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
Cedromus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Centetodon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
Ceratogaulus	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0
Cerdocyon	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
Cervalces	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Cervus	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Cetotherium	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0
Chaenohyus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Chaetodipus	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Chasmaporthetes	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Chrysocyon	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
Citellus	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Clethrionomys	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Condylura	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Conepatus	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Copemys	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0
Cormocyon	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
Cormohipparion	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0
Cornaceae	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
Cosomys	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
Cosoryx	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
Cranioceras	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0
Craterogale	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Cratogeomys	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Crucimys	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Crusafontina	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Cryptotis	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
Cupidinimus	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0
Cuvieronius	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
Cuyamacamelus	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Cuyamalagus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Cynarctoides	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
Cynarctus	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0
Cynelos	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
Cynodesmus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Cynomyoides	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Cynomys	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Cynorca	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0
Cyperaceae	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
Daeodon	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
Daphoenodon	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Daphoenus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
Dasypus	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Delahomeryx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Delotrochanter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Delphinodon	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
Desmathyus	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0
Desmatippus	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0
Desmatochoerus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
Desmatolagus	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0
Desmocyon	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
Desmodus	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Desmostylus	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0
Diceratherium	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
Dicrostonyx	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Didelphis	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
Dikkomys	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Dinofelis	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
Dinogale	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Dinohippus	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0
Dinohyus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Dipodomys	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Dipoides	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0
Diprionomys	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0
Domnina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Domninoides	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0
