lon	lat	age	label	paleolon	paleolat	x_albers	y_albers
-112.55	41.2	3.3	1	-111.81	41.31	-1370147	2140992
-112.55	41.2	4.7	1	-111.32	41.38	-1370147	2140992
-112.55	41.2	6.4	1	-111.07	41.42	-1370147	2140992
-112.55	41.2	11.5	1	-109.6	41.63	-1370147	2140992
-112.55	41.2	12.0	1	-109.6	41.63	-1370147	2140992
-111.0	44.0	9.2	1	-109.06	44.42	-1193760	2428727
-73.05	43.83	19.5	0	-68.44	43.96	1820818	2536292
-100.0	42.5	13.5	1	-96.93	43.03	-326615	2173701
-100.5	36.8	11.0	1	-98.17	37.22	-397635	1537764
-101.0	35.0	11.0	1	-98.7	35.42	-452377	1338704
-101.2	38.8	5.5	1	-99.92	39.04	-447173	1764731
-117.68	39.0	15.6	0	-112.21	38.89	-1844091	1986174
-114.09	42.25	15.65	0	-110.21	42.82	-1473935	2279584
-117.63	39.39	15.5	0	-112.16	39.28	-1830049	2027788
-89.67	75.37	23.1	0	-79.58	75.77	303196	5383741
-118.46	42.41	22.0	0	-110.94	42.24	-1819811	2372817
-118.11	36.19	16.8	1	-112.25	36.07	-1952614	1688189
-151.7	59.4	16.3	0	-147.28	60.33	-3283221	4983863
-74.33	40.03	11.0	0	-71.85	40.17	1817162	2098421
-77.4	37.5	5.4	0	-76.29	37.59	1618441	1765675
-76.8	38.7	6.25	0	-75.46	38.8	1642959	1907819
-75.2	38.5	5.4	0	-74.08	38.58	1782633	1914733
-75.5	38.6	5.4	0	-74.38	38.68	1754925	1920095
-76.4	36.75	3.5	0	-75.52	36.82	1721459	1700898
-75.1	38.6	3.1	0	-74.43	38.65	1788619	1927552
-76.82	38.72	8.0	0	-75.03	38.85	1640822	1909670
-119.6	39.8	15.6	0	-114.14	39.67	-1982139	2111956
-117.5	38.0	15.75	0	-112.01	37.89	-1854186	1873466
-119.33	39.6	14.75	0	-114.2	39.48	-1965369	2084616
-119.8	41.8	16.0	0	-114.37	41.67	-1943079	2333128
-119.29	41.4	16.0	0	-113.86	41.28	-1913149	2279383
-116.26	47.02	17.3	0	-112.63	47.9	-1535848	2834239
-116.26	46.94	16.0	0	-112.84	47.76	-1537721	2825586
-115.57	49.68	14.5	0	-112.51	50.39	-1424406	3109983
-118.95	47.92	14.5	0	-115.97	48.66	-1712247	2977099
-117.31	47.69	14.5	0	-114.32	48.42	-1597673	2923841
-116.35	47.11	14.5	0	-113.36	47.83	-1540450	2845427
-116.25	46.99	14.5	0	-113.26	47.71	-1535803	2830833
-116.28	46.77	14.5	0	-113.29	47.49	-1543202	2807516
-116.71	46.49	14.5	0	-113.73	47.21	-1582115	2784285
-116.26	46.42	14.5	0	-111.6	46.33	-1549908	2769290
-116.28	45.79	14.5	0	-111.61	45.7	-1566219	2701297
-103.02	46.66	13.1	0	-100.1	47.18	-538671	2649951
-119.47	44.46	15.4	0	-114.43	44.34	-1844072	2614470
-118.76	44.48	13.8	0	-114.06	44.37	-1788845	2603062
-117.42	47.66	10.65	0	-115.06	48.22	-1606521	2922467
-151.17	59.75	3.95	0	-150.05	59.96	-3236184	4995217
-151.7	60.03	3.95	0	-150.56	60.25	-3248053	5036832
-150.6	62.42	8.45	0	-147.87	62.8	-3062798	5197920
-151.4	61.04	8.45	0	-148.93	61.46	-3177079	5110792
-151.29	59.71	8.45	0	-149.03	60.13	-3244629	4995936
-151.75	59.39	8.45	0	-149.55	59.83	-3286384	4984747
-151.25	61.24	13.8	0	-146.84	61.99	-3158595	5122333
-150.6	62.42	13.8	0	-145.8	63.11	-3062798	5197920
-151.77	61.3	13.8	0	-147.35	62.08	-3181565	5144625
-149.85	61.63	13.8	0	-145.3	62.27	-3066805	5108765
-151.53	62.33	13.8	0	-146.77	63.09	-3113774	5220824
-151.74	59.41	13.8	0	-147.87	60.21	-3284742	4986089
-152.61	59.79	17.3	0	-147.79	60.85	-3308305	5048158
-153.29	58.84	19.5	0	-148.0	60.19	-3397773	4992588
-149.58	61.32	19.5	0	-143.19	62.24	-3069422	5074254
-152.45	60.29	19.5	0	-146.55	61.52	-3271957	5084240
-152.32	60.53	19.5	0	-146.31	61.74	-3251919	5099679
-152.43	60.29	19.5	0	-146.53	61.52	-3270937	5083551
-152.34	60.37	19.5	0	-146.4	61.59	-3261872	5087099
-149.15	61.67	19.5	0	-142.59	62.54	-3029132	5089639
-149.09	61.7	19.5	0	-142.52	62.56	-3024514	5090226
-143.17	61.8	13.8	0	-138.55	61.97	-2712747	4919953
-149.2	62.7	3.95	0	-147.81	62.87	-2978365	5176305
-164.1	65.3	8.45	0	-162.93	65.77	-3522581	5884900
-165.4	64.5	2.7	1	-164.97	64.67	-3627149	5878094
-70.83	41.35	3.95	0	-69.91	41.4	2065558	2313323
-70.83	41.35	14.9	0	-67.43	41.45	2065558	2313323
-70.82	41.32	14.9	0	-67.42	41.42	2067239	2310299
-120.01	46.94	15.5	0	-114.69	46.81	-1816748	2891779
-85.79	40.45	4.5	1	-84.9	40.56	856930	1983469
-116.9	33.9	3.95	1	-115.64	33.7	-1903429	1413953
-121.22	44.75	4.15	0	-119.88	44.7	-1969973	2680835
-82.27	27.47	4.25	0	-81.44	27.56	1359034	587823
-82.27	27.47	2.75	0	-81.65	27.54	1359034	587823
-83.05	78.37	3.05	0	-81.7	78.44	594260	5595003
-81.62	77.86	3.05	0	-80.3	77.93	663679	5576401
-83.93	79.7	3.05	0	-82.48	79.77	545354	5658203
-82.2	78.47	3.05	1	-80.84	78.54	632212	5605875
-118.47	37.78	4.45	0	-117.09	37.74	-1942086	1868840
-122.63	38.35	3.1	0	-121.6	38.31	-2275268	2022942
-121.51	41.96	2.72	0	-120.49	41.92	-2074686	2386579
-162.99	65.98	5.7	0	-162.11	66.34	-3434789	5891426
-99.05	79.88	3.0	0	-97.72	79.99	-137872	5634528
-115.832	43.68	11.0	1	-112.12	43.6	-1580799	2464169
-123.297	44.31399999999999	9.425	0	-120.25	44.2	-2141661	2679039
-75.7	38.7	3.1	0	-75.03	38.75	1735691	1927373
-76.3	36.7	3.1	0	-75.64	36.75	1731269	1697232
-76.7	36.3	3.1	0	-76.04	36.35	1705644	1646131
-76.5	37.2	3.95	0	-75.62	37.27	1702527	1748454
-76.6	36.95	3.95	0	-75.72	37.02	1699597	1719236
-75.3	38.67	8.45	0	-73.51	38.79	1770081	1931466
-76.8	38.7	8.45	0	-75.01	38.83	1642959	1907819
-75.4	38.8	8.45	0	-73.6	38.92	1758530	1943838
-75.5	39.2	8.45	0	-73.7	39.32	1740531	1985786
-76.5	38.0	10.5	0	-74.27	38.15	1684258	1836231
-75.5	39.2	13.8	0	-72.39	39.37	1740531	1985786
-76.0	39.8	10.5	0	-73.74	39.95	1684669	2042496
-99.83	43.08	11.95	1	-97.18	43.53	-310130	2237889
-101.75	43.08	11.95	1	-99.11	43.55	-465442	2245724
-101.66	43.17	11.95	1	-99.02	43.64	-457567	2255321
-101.75	43.12	11.95	1	-99.11	43.59	-465172	2250183
-102.0	43.12	11.95	1	-99.37	43.59	-485371	2251434
-102.0	43.08	11.95	1	-99.37	43.55	-485653	2246975
-99.8	43.08	11.95	1	-97.15	43.53	-307702	2237791
-99.8	43.06	11.95	1	-97.15	43.51	-307792	2235559
-101.7	43.12	11.95	1	-99.06	43.59	-461132	2249940
-101.8	43.12	11.95	1	-99.16	43.59	-469212	2250429
-100.0	42.8	11.95	1	-97.36	43.25	-325204	2207202
-99.8	42.8	11.95	1	-97.16	43.25	-308953	2206535
-99.75	42.73	11.95	1	-97.11	43.18	-305198	2198557
-100.05	42.8	11.95	1	-97.41	43.25	-329267	2207374
-100.9	42.98	11.95	1	-98.26	43.44	-397280	2230712
-101.33	43.2	11.95	1	-98.69	43.67	-430730	2257123
-100.5	42.85	11.95	1	-97.86	43.31	-365562	2214601
-101.75	42.81	11.95	1	-99.12	43.28	-467266	2215615
-101.45	42.87	11.95	1	-98.82	43.34	-442530	2220871
-99.75	42.67	11.95	1	-97.11	43.12	-305463	2191856
-99.75	42.72	11.95	1	-97.11	43.17	-305242	2197440
-100.83	42.68	11.95	1	-98.2	43.14	-393312	2196943
-100.9	42.81	11.95	1	-98.26	43.27	-398259	2211744
-100.83	42.67	11.95	1	-98.2	43.13	-393369	2195827
-100.85	42.67	11.95	1	-98.22	43.13	-394996	2195910
-101.09	42.81	11.95	1	-98.46	43.27	-413687	2212556
-99.4	43.25	11.95	1	-96.74	43.7	-274648	2255538
-100.55	42.9	11.95	1	-97.91	43.36	-369353	2220374
-99.78	42.65	11.95	1	-97.14	43.1	-307994	2189720
-99.73	42.55	11.95	1	-97.09	43.0	-304361	2178390
-148.5	64.0	19.5	0	-144.77	65.36	-2878051	5260304
-149.02	63.86	17.3	0	-145.9	65.0	-2910568	5264882
-148.5	64.0	13.8	0	-145.92	64.91	-2878051	5260304
-148.5	64.0	8.1	0	-147.04	64.49	-2878051	5260304
-118.261	33.78	13.3	1	-114.18	33.13	-2028287	1429043
-117.52	44.97	13.8	0	-112.83	44.87	-1680858	2633512
-100.93	39.4	6.5	1	-99.64	39.64	-420489	1830650
-131.79399999999998	54.023	5.95	0	-130.59	54.36	-2389320	3888137
-91.656	31.847	8.68	0	-89.77	32.13	409157	984090
-113.244777777778	44.7956666666667	20.9786223283083	1	-108.17	45.55	-1354573	2546217
-113.27172222222201	44.809361111111095	20.7272895620407	1	-108.2	45.57	-1356391	2548100
