lng	lat	avg_age	paleolng	paleolat	x_present_albers	y_present_albers
-79.25	78.25	23	-67.4	78.32	768190	5615743
-78.75	78.25	23	-66.9	78.3	790872	5619845
-78.25	78.25	23	-66.4	78.29	813533	5624065
-77.75	78.25	23	-65.91	78.27	836170	5628405
-77.25	78.25	23	-65.41	78.26	858785	5632864
-76.75	78.25	23	-64.92	78.25	881376	5637442
-76.25	78.25	23	-64.42	78.23	903943	5642139
-75.75	78.25	23	-63.93	78.22	926484	5646954
-72.25	78.25	23	-60.49	78.11	1083523	5683971
-71.75	78.25	23	-60	78.1	1105842	5689731
-71.25	78.25	23	-59.51	78.08	1128130	5695608
-70.75	78.25	23	-59.02	78.07	1150387	5701602
-70.25	78.25	23	-58.54	78.06	1172613	5707713
-69.75	78.25	23	-58.05	78.04	1194806	5713941
-69.25	78.25	23	-57.56	78.03	1216965	5720285
-68.75	78.25	23	-57.08	78.01	1239091	5726746
-68.25	78.25	23	-56.59	78	1261183	5733324
-67.75	78.25	23	-56.11	77.98	1283240	5740017
-67.25	78.25	23	-55.62	77.97	1305262	5746827
-66.75	78.25	23	-55.14	77.96	1327247	5753752
-66.25	78.25	23	-54.66	77.94	1349195	5760793
-65.75	78.25	23	-54.18	77.93	1371106	5767949
-65.25	78.25	23	-53.69	77.91	1392980	5775220
-64.75	78.25	23	-53.21	77.9	1414814	5782607
-64.25	78.25	23	-52.73	77.88	1436610	5790108
-63.75	78.25	23	-52.25	77.87	1458366	5797724
-63.25	78.25	23	-51.77	77.86	1480081	5805454
-62.75	78.25	23	-51.29	77.84	1501755	5813298
-62.25	78.25	23	-50.81	77.83	1523388	5821256
-61.75	78.25	23	-50.34	77.81	1544979	5829328
-61.25	78.25	23	-49.86	77.8	1566527	5837513
-60.75	78.25	23	-49.38	77.79	1588031	5845812
-60.25	78.25	23	-48.9	77.77	1609492	5854223
-59.75	78.25	23	-48.43	77.76	1630908	5862748
-59.25	78.25	23	-47.95	77.74	1652278	5871385
-58.75	78.25	23	-47.48	77.73	1673604	5880134
-58.25	78.25	23	-47	77.72	1694882	5888995
-57.75	78.25	23	-46.53	77.7	1716114	5897969
-57.25	78.25	23	-46.06	77.69	1737299	5907053
-56.75	78.25	23	-45.58	77.68	1758435	5916250
-56.25	78.25	23	-45.11	77.66	1779522	5925557
-55.75	78.25	23	-44.64	77.65	1800561	5934975
-55.25	78.25	23	-44.17	77.64	1821549	5944503
-54.75	78.25	23	-43.7	77.62	1842487	5954142
-54.25	78.25	23	-43.22	77.61	1863374	5963891
-53.75	78.25	23	-42.75	77.6	1884210	5973750
-53.25	78.25	23	-42.28	77.58	1904993	5983718
-52.75	78.25	23	-41.82	77.57	1925724	5993795
-52.25	78.25	23	-41.35	77.56	1946401	6003981
-114.25	77.75	23	-104.14	78.8	-841520	5600894
-112.75	77.75	23	-102.52	78.76	-773104	5588152
-112.25	77.75	23	-101.98	78.75	-750255	5584144
-111.75	77.75	23	-101.44	78.73	-727385	5580257
-111.25	77.75	23	-100.9	78.72	-704496	5576490
-110.75	77.75	23	-100.36	78.71	-681586	5572844
-102.25	77.75	23	-91.31	78.49	-289762	5529375
-101.75	77.75	23	-90.78	78.47	-266610	5527911
-101.25	77.75	23	-90.26	78.46	-243451	5526570
-95.75	77.75	23	-84.51	78.3	11599	5519859
-95.25	77.75	23	-83.99	78.29	34796	5519981
-94.75	77.75	23	-83.47	78.28	57992	5520225
-94.25	77.75	23	-82.96	78.26	81187	5520591
-93.75	77.75	23	-82.44	78.25	104380	5521079
-87.75	77.75	23	-76.29	78.07	382281	5536447
-87.25	77.75	23	-75.79	78.06	405386	5538519
-86.75	77.75	23	-75.28	78.04	428479	5540713
-86.25	77.75	23	-74.77	78.03	451561	5543028
-85.25	77.75	23	-73.76	78	497686	5548022
-84.75	77.75	23	-73.25	77.99	520729	5550701
-84.25	77.75	23	-72.75	77.97	543757	5553501
-83.75	77.75	23	-72.25	77.96	566770	5556423
-83.25	77.75	23	-71.74	77.94	589767	5559465
-82.75	77.75	23	-71.24	77.93	612748	5562629
-82.25	77.75	23	-70.74	77.91	635712	5565913
-81.75	77.75	23	-70.24	77.9	658658	5569318
-81.25	77.75	23	-69.74	77.88	681586	5572844
-80.75	77.75	23	-69.24	77.87	704496	5576490
-80.25	77.75	23	-68.74	77.85	727385	5580257
-79.75	77.75	23	-68.24	77.84	750255	5584144
-79.25	77.75	23	-67.74	77.82	773104	5588152
-78.75	77.75	23	-67.24	77.81	795931	5592279
-78.25	77.75	23	-66.74	77.79	818737	5596527
-70.25	77.75	23	-58.87	77.56	1180114	5680709
-69.75	77.75	23	-58.38	77.55	1202449	5686977
-69.25	77.75	23	-57.89	77.53	1224750	5693362
-68.75	77.75	23	-57.4	77.52	1247018	5699865
-68.25	77.75	23	-56.92	77.5	1269251	5706484
-67.75	77.75	23	-56.43	77.49	1291449	5713220
-67.25	77.75	23	-55.95	77.47	1313611	5720073
-66.75	77.75	23	-55.46	77.46	1335737	5727043
-66.25	77.75	23	-54.98	77.45	1357826	5734129
-65.75	77.75	23	-54.5	77.43	1379878	5741331
-65.25	77.75	23	-54.01	77.42	1401891	5748649
-64.75	77.75	23	-53.53	77.4	1423865	5756082
-64.25	77.75	23	-53.05	77.39	1445800	5763631
-63.75	77.75	23	-52.57	77.37	1467695	5771296
-63.25	77.75	23	-52.09	77.36	1489549	5779075
-62.75	77.75	23	-51.61	77.35	1511362	5786970
-62.25	77.75	23	-51.13	77.33	1533133	5794979
-61.75	77.75	23	-50.65	77.32	1554862	5803102
-61.25	77.75	23	-50.17	77.3	1576548	5811340
-60.75	77.75	23	-49.69	77.29	1598190	5819692
-60.25	77.75	23	-49.21	77.28	1619788	5828157
-59.75	77.75	23	-48.74	77.26	1641341	5836736
-59.25	77.75	23	-48.26	77.25	1662848	5845428
-58.75	77.75	23	-47.78	77.24	1684310	5854234
-58.25	77.75	23	-47.31	77.22	1705725	5863152
-57.75	77.75	23	-46.83	77.21	1727092	5872182
-57.25	77.75	23	-46.36	77.19	1748412	5881325
-56.75	77.75	23	-45.88	77.18	1769684	5890580
-56.25	77.75	23	-45.41	77.17	1790906	5899947
-55.75	77.75	23	-44.93	77.15	1812079	5909425
-55.25	77.75	23	-44.46	77.14	1833202	5919014
-54.75	77.75	23	-43.99	77.13	1854274	5928715
-54.25	77.75	23	-43.52	77.11	1875295	5938526
-53.75	77.75	23	-43.04	77.1	1896263	5948448
-53.25	77.75	23	-42.57	77.09	1917180	5958480
-52.75	77.75	23	-42.1	77.07	1938043	5968622
-52.25	77.75	23	-41.63	77.06	1958852	5978873
-119.25	77.25	23	-109.86	78.41	-1074983	5623015
-118.75	77.25	23	-109.32	78.4	-1052314	5617419
-118.25	77.25	23	-108.77	78.39	-1029615	5611942
-117.75	77.25	23	-108.22	78.38	-1006888	5606585
-117.25	77.25	23	-107.68	78.37	-984132	5601347
-116.75	77.25	23	-107.14	78.36	-961350	5596229
-116.25	77.25	23	-106.59	78.35	-938541	5591231
-115.75	77.25	23	-106.05	78.33	-915706	5586353
-105.25	77.25	23	-94.79	78.07	-431296	5511864
-104.75	77.25	23	-94.26	78.06	-408051	5509656
-90.25	77.25	23	-79.16	77.65	268363	5498978
-86.75	77.25	23	-75.6	77.55	431296	5511864
-86.25	77.25	23	-75.09	77.53	454530	5514194
-85.75	77.25	23	-74.58	77.52	477751	5516646
-85.25	77.25	23	-74.08	77.51	500958	5519221
-84.75	77.25	23	-73.57	77.49	524152	5521918
-84.25	77.25	23	-73.07	77.48	547332	5524737
-83.75	77.25	23	-72.57	77.46	570496	5527677
-83.25	77.25	23	-72.06	77.45	593644	5530740
-82.75	77.25	23	-71.56	77.43	616776	5533924
-82.25	77.25	23	-71.06	77.42	639891	5537230
-81.25	77.25	23	-70.05	77.39	686067	5544206
-80.75	77.25	23	-69.55	77.37	709127	5547876
-68.75	77.25	23	-57.71	77.02	1255216	5672062
-68.25	77.25	23	-57.22	77.01	1277595	5678725
-67.75	77.25	23	-56.73	76.99	1299939	5685505
